Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Floor	Cieling	NOTES	Tags
31	Spectrogram 1	1	20150919_190000.wav	20150919_190000.wav	504183.667	504247.477	3535437	3599247	2015/9/19  19:58:55.667	63.81	102.2	215.0	52.4	108.4	198.2				minke
34	Spectrogram 1	1	20151110_000000.wav	20151110_000000.wav	605088.575	605192.285	212293	316003	2015/11/10  0:03:32.575	103.71	86.9	181.4	91.2	93.8	173.8				minke
35	Spectrogram 1	1	20151110_000000.wav	20151110_000000.wav	605330.353	605400.738	454071	524456	2015/11/10  0:07:34.353	70.385	92.1	183.0	61.6	101.6	175.8				minke
36	Spectrogram 1	1	20151110_000000.wav	20151110_000000.wav	605554.348	605626.153	678066	749871	2015/11/10  0:11:18.348	71.805	97.0	179.0	63.6	102.5	172.9				minke
37	Spectrogram 1	1	20151110_000000.wav	20151110_000000.wav	605786.637	605881.038	910355	1004756	2015/11/10  0:15:10.637	94.401	97.3	174.6	83.8	102.5	168.9				minke
38	Spectrogram 1	1	20151110_000000.wav	20151110_000000.wav	605954.988	606013.673	1078706	1137391	2015/11/10  0:17:58.988	58.685	101.4	169.4	52.5	105.5	165.0				minke
39	Spectrogram 1	1	20151110_000000.wav	20151110_000000.wav	606158.637	606232.385	1282355	1356103	2015/11/10  0:21:22.637	73.748	98.6	165.5	65.6	102.5	162.1				minke
40	Spectrogram 1	1	20151110_000000.wav	20151110_000000.wav	606470.01	606508.938	1593728	1632656	2015/11/10  0:26:33.010	38.928	103.0	160.0	34.5	106.4	156.2				minke
41	Spectrogram 1	1	20151115_070000.wav	20151115_070000.wav	618455.693	618511.21	2779406	2834923	2015/11/15  7:46:19.693	55.517	97.5	158.5	49.9	99.6	155.3				minke
42	Spectrogram 1	1	20151115_070000.wav	20151115_070000.wav	618905.477	618997.979	3229190	3321692	2015/11/15  7:53:49.477	92.502	82.7	172.0	83.2	86.9	167.0				minke
