Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Possibly	Possible	From	Tags
1157	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112216.127997338	112217.139997338	1009319	1010331	2014/2/19  15:16:49.128	1.012	23.1	55.8	0.8	25.4	47.9		fm		Unidentified.calls
1158	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112235.176998824	112236.372998824	1028368	1029564	2014/2/19  15:17:08.177	1.196	26.7	56.4	0.5	28.3	51.8		fm		Unidentified.calls
1159	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112253.857002109	112255.698002109	1047048	1048889	2014/2/19  15:17:27.857	1.841	26.1	57.3	0.6	28.3	52.7		fm		Unidentified.calls
1160	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112272.906003594	112274.471003594	1066097	1067662	2014/2/19  15:17:46.906	1.565	32.2	57.9	0.6	34.2	53.7		fm		Unidentified.calls
1161	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112292.771003469	112294.059003469	1085962	1087250	2014/2/19  15:18:05.771	1.288	37.6	54.3	0.9	39.1	51.8		fm		Unidentified.calls
1162	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112311.336996108	112312.256996108	1104528	1105448	2014/2/19  15:18:24.337	0.92	24.9	59.5	0.6	27.3	53.7		fm		Unidentified.calls
1163	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112329.924996271	112331.581996271	1123116	1124773	2014/2/19  15:18:43.925	1.657	34.0	62.5	0.9	35.2	57.6		fm		Unidentified.calls
1164	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112349.158004	112350.263004	1142349	1143454	2014/2/19  15:19:02.158	1.105	39.4	59.8	0.5	40.0	56.6		fm		Unidentified.calls
1165	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112368.115002364	112369.495002364	1161306	1162686	2014/2/19  15:19:21.115	1.38	38.2	61.6	0.5	40.0	57.6		fm		Unidentified.calls
1166	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112386.888004541	112387.992004541	1180079	1181183	2014/2/19  15:19:40.888	1.104	39.4	61.3	0.6	42.0	57.6		fm		Unidentified.calls
1167	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112406.568002402	112408.593002402	1199759	1201784	2014/2/19  15:19:59.568	2.025	41.0	60.7	1.1	42.0	58.6		fm		Unidentified.calls
1168	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112424.949998855	112425.961998855	1218141	1219153	2014/2/19  15:20:18.950	1.012	37.9	65.8	0.5	41.0	60.5		fm		Unidentified.calls
1169	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112443.906997218	112445.470997218	1237098	1238662	2014/2/19  15:20:37.907	1.564	35.8	69.5	0.5	38.1	62.5		fm		Unidentified.calls
1170	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112463.231998011	112464.427998011	1256423	1257619	2014/2/19  15:20:56.232	1.196	35.5	63.1	0.5	37.1	58.6		fm		Unidentified.calls
1171	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112482.188996374	112483.384996374	1275380	1276576	2014/2/19  15:21:15.189	1.196	32.2	61.9	0.5	35.2	58.6		fm		Unidentified.calls
1172	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112500.961002782	112502.434002782	1294152	1295625	2014/2/19  15:21:34.961	1.473	33.7	60.1	0.6	35.2	55.7		fm		Unidentified.calls
1173	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112520.607003644	112521.803003644	1313798	1314994	2014/2/19  15:21:53.607	1.196	37.6	66.7	0.9	40.0	62.5		fm		Unidentified.calls
1174	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112539.115995988	112540.219995988	1332307	1333411	2014/2/19  15:22:12.116	1.104	35.8	60.7	0.6	38.1	57.6		fm		Unidentified.calls
1175	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112558.611997664	112560.544997664	1351803	1353736	2014/2/19  15:22:31.612	1.933	34.0	59.2	1.7	35.2	54.7		fm		Unidentified.calls
1176	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112577.568996027	112579.317996027	1370760	1372509	2014/2/19  15:22:50.569	1.749	35.8	58.9	1.2	37.1	53.7		fm		Unidentified.calls
1177	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112595.985995307	112597.181995307	1389177	1390373	2014/2/19  15:23:09.986	1.196	33.1	65.5	0.8	36.1	58.6		fm		Unidentified.calls
1178	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112615.574995875	112617.782995875	1408766	1410974	2014/2/19  15:23:28.575	2.208	34.6	59.2	2.0	37.1	56.6		fm		Unidentified.calls
1179	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112634.680001884	112635.785001884	1427871	1428976	2014/2/19  15:23:47.680	1.105	37.6	57.6	0.9	39.1	52.7		fm		Unidentified.calls
1180	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112653.637000248	112655.662000248	1446828	1448853	2014/2/19  15:24:06.637	2.025	30.0	54.9	1.8	31.2	51.8		fm		Unidentified.calls
1181	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112654.845995903	112656.133995903	1448037	1449325	2014/2/19  15:24:08.846	1.288	32.5	63.4	1.1	33.2	56.6		fm		Unidentified.calls
1182	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112672.778004855	112673.974004855	1465969	1467165	2014/2/19  15:24:25.778	1.196	35.5	58.6	0.9	37.1	56.6		fm		Unidentified.calls
1183	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112674.526003822	112676.367003822	1467717	1469558	2014/2/19  15:24:27.526	1.841	32.5	61.0	1.4	34.2	55.7		fm		Unidentified.calls
1184	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112691.103001013	112691.747001013	1484294	1484938	2014/2/19  15:24:44.103	0.644	33.7	60.1	0.5	35.2	54.7		fm		Unidentified.calls
1185	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112692.943003103	112693.771003103	1486134	1486962	2014/2/19  15:24:46.943	0.828	31.2	57.0	0.5	35.2	53.7		fm		Unidentified.calls
1186	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112710.506999567	112712.439999567	1503698	1505631	2014/2/19  15:25:03.507	1.933	37.6	64.3	1.5	39.1	60.5		fm		Unidentified.calls
1187	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112712.715999856	112714.279999856	1505907	1507471	2014/2/19  15:25:05.716	1.564	29.7	64.3	1.4	30.3	60.5		fm		Unidentified.calls
1188	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	112774.703995958	112775.992995958	1567895	1569184	2014/2/19  15:26:07.704	1.289	66.7	95.9	1.2	67.4	92.8		fm		Unidentified.calls
1189	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	113488.938001617	113490.227001617	2282129	2283418	2014/2/19  15:38:02.938	1.289	14.9	51.3	1.1	17.6	44.9		fm		Unidentified.calls
1190	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	113508.170999288	113509.366999288	2301362	2302558	2014/2/19  15:38:21.171	1.196	15.5	49.8	0.9	16.6	45.9		fm		Unidentified.calls
1191	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	113527.127997651	113528.507997651	2320319	2321699	2014/2/19  15:38:40.128	1.38	17.0	51.6	1.2	18.6	46.9		fm		Unidentified.calls
1192	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	113546.084000244	113548.109000244	2339275	2341300	2014/2/19  15:38:59.084	2.025	9.7	49.2	1.8	11.7	44.9		fm		Unidentified.calls
1193	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	113565.316997915	113566.605997915	2358508	2359797	2014/2/19  15:39:18.317	1.289	11.5	40.4	1.2	13.7	36.1		fm		Unidentified.calls
1194	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	113583.814000785	113585.930000785	2377005	2379121	2014/2/19  15:39:37.814	2.116	13.3	40.7	1.8	14.6	37.1		fm		Unidentified.calls
1195	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	113603.288004994	113604.300004994	2396479	2397491	2014/2/19  15:39:56.288	1.012	19.1	40.7	0.8	20.5	38.1		fm		Unidentified.calls
1196	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	113622.153000235	113623.901000235	2415344	2417092	2014/2/19  15:40:15.153	1.748	12.1	41.9	1.7	13.7	37.1		fm		Unidentified.calls
1197	Spectrogram 1	1	200_2014-02-19_15-00-00.wav	200_2014-02-19_15-00-00.wav	114699.391997307	114700.587997307	3492583	3493779	2014/2/19  15:58:12.392	1.196	51.9	80.4	0.8	54.7	73.2		fm		Unidentified.calls
1198	Spectrogram 1	1	200_2014-02-21_16-00-00.wav	200_2014-02-21_16-00-00.wav	114956.408004106	114957.880004106	149041	150513	2014/2/21  16:02:29.408	1.472	77.2	104.4	1.2	79.1	100.6	fm			Unidentified.calls
1199	Spectrogram 1	1	200_2014-02-21_16-00-00.wav	200_2014-02-21_16-00-00.wav	114961.825003491	114962.929003491	154458	155562	2014/2/21  16:02:34.825	1.104	68.6	101.7	0.9	72.3	98.6	fm			Unidentified.calls
1200	Spectrogram 1	1	200_2014-02-21_16-00-00.wav	200_2014-02-21_16-00-00.wav	117233.014002086	117233.935002086	2425647	2426568	2014/2/21  16:40:25.014	0.921	48.5	69.0	0.6	50.8	65.4	fm			Unidentified.calls
1201	Spectrogram 1	1	200_2014-02-21_16-00-00.wav	200_2014-02-21_16-00-00.wav	117268.13100131	117269.23500131	2460764	2461868	2014/2/21  16:41:00.131	1.104	39.2	77.6	0.8	42.0	72.3	fm			Unidentified.calls
1202	Spectrogram 1	1	200_2014-02-21_16-00-00.wav	200_2014-02-21_16-00-00.wav	117358.721004815	117359.917004815	2551354	2552550	2014/2/21  16:42:31.721	1.196	40.0	57.5	0.9	40.0	54.7	fm			Unidentified.calls
1203	Spectrogram 1	1	200_2014-02-21_16-00-00.wav	200_2014-02-21_16-00-00.wav	117549.964998679	117551.436998679	2742598	2744070	2014/2/21  16:45:42.965	1.472	27.7	62.1	1.2	30.3	58.6	fm			Unidentified.calls
1204	Spectrogram 1	1	200_2014-02-23_07-00-00.wav	200_2014-02-23_07-00-00.wav	118459.489003155	118470.439003155	51564	62514	2014/2/23  7:00:51.489	10.95	5.5	37.6	9.2	6.8	33.2		"Source low pulses file 14-16 ""noise"		Unidentified.calls
1205	Spectrogram 1	1	200_2014-02-23_07-00-00.wav	200_2014-02-23_07-00-00.wav	118610.243999171	118611.532999171	202319	203608	2014/2/23  7:03:22.244	1.289	70.1	105.9	0.9	72.3	101.6		fm		Unidentified.calls
1206	Spectrogram 1	1	200_2014-02-23_07-00-00.wav	200_2014-02-23_07-00-00.wav	119199.84500553	119201.31700553	791920	793392	2014/2/23  7:13:11.845	1.472	70.7	98.0	1.2	75.2	95.7		fm		Unidentified.calls
1207	Spectrogram 1	1	200_2014-02-23_07-00-00.wav	200_2014-02-23_07-00-00.wav	119507.833005074	119509.029005074	1099908	1101104	2014/2/23  7:18:19.833	1.196	39.4	72.2	0.8	41.0	65.4		fm		Unidentified.calls
1208	Spectrogram 1	1	200_2014-02-23_07-00-00.wav	200_2014-02-23_07-00-00.wav	119528.262003097	119529.182003097	1120337	1121257	2014/2/23  7:18:40.262	0.92	54.6	88.6	0.8	55.7	84.0		fm		Unidentified.calls
1209	Spectrogram 1	1	200_2014-02-23_07-00-00.wav	200_2014-02-23_07-00-00.wav	120371.096005249	120372.476005249	1963171	1964551	2014/2/23  7:32:43.096	1.38	59.2	80.4	1.1	60.5	78.1		fm		Unidentified.calls
1210	Spectrogram 1	1	200_2014-02-23_07-00-00.wav	200_2014-02-23_07-00-00.wav	120409.653007942	120410.850007942	2001728	2002925	2014/2/23  7:33:21.653	1.197	92.5	114.7	0.9	94.7	113.3		fm		Unidentified.calls
1211	Spectrogram 1	1	200_2014-02-23_07-00-00.wav	200_2014-02-23_07-00-00.wav	120431.37100521	120433.02700521	2023446	2025102	2014/2/23  7:33:43.371	1.656	58.3	80.4	1.4	59.6	78.1		fm		Unidentified.calls
1212	Spectrogram 1	1	200_2014-02-23_07-00-00.wav	200_2014-02-23_07-00-00.wav	120722.702003974	120723.899003974	2314777	2315974	2014/2/23  7:38:34.702	1.197	76.2	117.4	0.9	81.1	114.3		fm		Unidentified.calls
1213	Spectrogram 1	1	200_2014-02-25_07-00-00.wav	200_2014-02-25_07-00-00.wav	124560.142002155	124571.829002155	2551659	2563346	2014/2/25  7:42:31.142	11.687	5.7	63.6	8.6	7.8	42.0	continuous sound in file18			Unidentified.calls
1214	Spectrogram 1	1	200_2014-02-26_22-00-00.wav	200_2014-02-26_22-00-00.wav	125770.978001348	125772.635001348	161937	163594	2014/2/26  22:02:41.978	1.657	25.2	69.2	1.4	26.4	59.6		fm		Unidentified.calls
1215	Spectrogram 1	1	200_2014-02-26_22-00-00.wav	200_2014-02-26_22-00-00.wav	125888.745004899	125890.309004899	279704	281268	2014/2/26  22:04:39.745	1.564	19.1	55.5	0.9	20.5	49.8		fm		Unidentified.calls
1216	Spectrogram 1	1	200_2014-02-26_22-00-00.wav	200_2014-02-26_22-00-00.wav	125979.893001756	125981.089001756	370852	372048	2014/2/26  22:06:10.893	1.196	33.4	45.8	1.1	34.2	43.0		fm		Unidentified.calls
1217	Spectrogram 1	1	200_2014-02-26_22-00-00.wav	200_2014-02-26_22-00-00.wav	126558.738001278	126561.039001278	949697	951998	2014/2/26  22:15:49.738	2.301	75.5	117.1	1.5	79.1	114.3		fm		Unidentified.calls
1218	Spectrogram 1	1	200_2014-02-26_22-00-00.wav	200_2014-02-26_22-00-00.wav	126912.369999877	126913.565999877	1303329	1304525	2014/2/26  22:21:43.370	1.196	51.3	74.0	0.8	53.7	70.3		fm		Unidentified.calls
1219	Spectrogram 1	1	200_2014-02-26_22-00-00.wav	200_2014-02-26_22-00-00.wav	128677.867001883	128679.063001883	3068826	3070022	2014/2/26  22:51:08.867	1.196	51.0	88.0	1.1	51.8	83.0		fm		Unidentified.calls
1220	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	129609.901998722	129611.189998722	400303	401591	2014/2/28  23:06:40.902	1.288	40.6	74.7	1.1	42.0	70.3	fm			Unidentified.calls
1221	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	129612.557999202	129614.214999202	402959	404616	2014/2/28  23:06:42.558	1.657	38.4	71.1	1.1	43.0	63.5	fm			Unidentified.calls
1222	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	129616.422995337	129617.711995337	406824	408113	2014/2/28  23:06:46.423	1.289	46.7	76.5	1.2	49.8	72.3	fm			Unidentified.calls
1223	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	129626.361997955	129627.925997955	416763	418327	2014/2/28  23:06:56.362	1.564	41.3	72.9	1.1	44.9	69.3	fm			Unidentified.calls
1224	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	129692.066992604	129694.091992604	482468	484493	2014/2/28  23:08:02.067	2.025	40.6	74.0	1.4	43.9	65.4	fm			Unidentified.calls
1225	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	129734.988998779	129735.632998779	525390	526034	2014/2/28  23:08:45.989	0.644	27.7	48.1	0.5	29.3	44.9	fm			Unidentified.calls
1226	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	129752.104999282	129753.577999282	542506	543979	2014/2/28  23:09:02.105	1.473	53.2	75.8	1.2	56.6	72.3	fm double			Unidentified.calls
1227	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	129753.300999635	129754.497999635	543702	544899	2014/2/28  23:09:03.301	1.197	45.3	76.9	0.6	47.9	70.3	fm double			Unidentified.calls
1228	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	129950.871995994	129952.251995994	741273	742653	2014/2/28  23:12:21.872	1.38	44.2	77.9	0.8	46.9	69.3	fm			Unidentified.calls
1229	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	129965.122994938	129967.331994938	755524	757733	2014/2/28  23:12:35.123	2.209	21.6	56.0	1.8	23.4	54.7	fm			Unidentified.calls
1230	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	130088.214994752	130095.024994752	878616	885426	2014/2/28  23:14:38.215	6.81	20.1	24.4	5.7	20.5	23.4	fm			Unidentified.calls
1231	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	130187.613992923	130188.534992923	978015	978936	2014/2/28  23:16:18.614	0.921	50.3	78.3	0.8	51.8	75.2	fm			Unidentified.calls
1232	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	130226.343998097	130227.999998097	1016745	1018401	2014/2/28  23:16:56.344	1.656	38.8	69.0	1.4	40.0	64.5	fm			Unidentified.calls
1233	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	130406.952000566	130408.056000566	1197353	1198457	2014/2/28  23:19:57.952	1.104	40.6	70.4	0.8	43.0	64.5	fm			Unidentified.calls
1234	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	130414.785995491	130416.165995491	1205187	1206567	2014/2/28  23:20:05.786	1.38	39.2	71.5	1.2	42.0	62.5	fm			Unidentified.calls
1235	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	130810.498001211	130811.694001211	1600899	1602095	2014/2/28  23:26:40.498	1.196	42.0	69.3	0.9	45.9	62.5	fm			Unidentified.calls
1236	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	130844.835000642	130845.939000642	1635236	1636340	2014/2/28  23:27:15.835	1.104	45.6	71.1	0.9	45.9	68.4	fm			Unidentified.calls
1237	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	130873.821998917	130875.293998917	1664223	1665695	2014/2/28  23:27:44.822	1.472	48.1	66.8	1.4	49.8	65.4	fm			Unidentified.calls
1238	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	130879.422994488	130880.710994488	1669824	1671112	2014/2/28  23:27:49.423	1.288	38.8	74.7	0.9	40.0	70.3	fm			Unidentified.calls
1239	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131016.042993747	131017.054993747	1806444	1807456	2014/2/28  23:30:06.043	1.012	46.7	74.7	0.8	46.9	68.4	fm			Unidentified.calls
1240	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131028.281993949	131029.478993949	1818683	1819880	2014/2/28  23:30:18.282	1.197	50.3	78.3	0.8	51.8	72.3	fm			Unidentified.calls
1241	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131039.067994588	131039.987994588	1829469	1830389	2014/2/28  23:30:29.068	0.92	35.6	73.3	0.8	38.1	64.5	fm			Unidentified.calls
1242	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131192.871998408	131193.975998408	1983273	1984377	2014/2/28  23:33:03.872	1.104	41.3	66.8	0.9	43.0	62.5	fm			Unidentified.calls
1243	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131782.40599648	131783.14199648	2572807	2573543	2014/2/28  23:42:52.406	0.736	44.9	71.5	0.5	47.9	64.5	fm			Unidentified.calls
1244	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131815.258000948	131816.270000948	2605659	2606671	2014/2/28  23:43:25.258	1.012	47.8	76.1	0.6	50.8	70.3	fm			Unidentified.calls
1245	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131852.98699566	131853.81599566	2643388	2644217	2014/2/28  23:44:03.987	0.829	48.9	74.7	0.6	51.8	69.3	fm			Unidentified.calls
1246	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131958.521999576	131959.441999576	2748923	2749843	2014/2/28  23:45:48.522	0.92	46.0	64.7	0.6	48.8	62.5	fm			Unidentified.calls
1247	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131979.790995055	131980.803995055	2770192	2771205	2014/2/28  23:46:10.791	1.013	46.7	78.7	0.8	47.9	75.2	fm			Unidentified.calls
1248	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131996.252000116	131997.172000116	2786653	2787573	2014/2/28  23:46:26.252	0.92	43.5	73.6	0.8	43.9	67.4	fm			Unidentified.calls
1249	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	131997.263994225	131998.552994225	2787665	2788954	2014/2/28  23:46:27.264	1.289	45.6	76.5	1.1	45.9	71.3	fm			Unidentified.calls
1250	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132145.711992093	132146.539992093	2936113	2936941	2014/2/28  23:48:56.712	0.828	44.5	72.9	0.8	45.9	70.3	fm			Unidentified.calls
1251	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132161.159001448	132162.172001448	2951560	2952573	2014/2/28  23:49:11.159	1.013	44.9	75.8	0.8	45.9	70.3	fm			Unidentified.calls
1252	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132176.723994472	132177.459994472	2967125	2967861	2014/2/28  23:49:27.724	0.736	46.7	80.5	0.5	48.8	76.2	fm			Unidentified.calls
1253	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132222.540996008	132223.828996008	3012942	3014230	2014/2/28  23:50:12.541	1.288	46.7	74.0	0.8	49.8	68.4	fm			Unidentified.calls
1254	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132292.293997266	132293.306997266	3082695	3083708	2014/2/28  23:51:22.294	1.013	57.8	85.5	0.6	59.6	77.1	fm			Unidentified.calls
1255	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132428.668001079	132430.141001079	3219069	3220542	2014/2/28  23:53:39.668	1.473	39.2	70.8	1.1	41.0	66.4	fm			Unidentified.calls
1256	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132482.580995717	132484.513995717	3272982	3274915	2014/2/28  23:54:32.581	1.933	43.5	73.3	1.4	43.9	67.4	fm			Unidentified.calls
1257	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132485.341994621	132486.261994621	3275743	3276663	2014/2/28  23:54:35.342	0.92	43.8	73.6	0.6	45.9	65.4	fm			Unidentified.calls
1258	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132543.980994605	132545.728994605	3334382	3336130	2014/2/28  23:55:34.981	1.748	33.4	70.4	1.7	35.2	66.4	fm			Unidentified.calls
1259	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132555.208000698	132556.588000698	3345609	3346989	2014/2/28  23:55:45.208	1.38	37.7	71.1	1.2	38.1	64.5	fm			Unidentified.calls
1260	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132555.679995724	132556.599995724	3346081	3347001	2014/2/28  23:55:46.680	0.92	42.7	66.8	0.8	45.9	62.5	fm			Unidentified.calls
1261	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132585.94299794	132587.13999794	3376344	3377541	2014/2/28  23:56:16.943	1.197	46.7	74.0	0.9	47.9	70.3	fm			Unidentified.calls
1262	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132661.367000424	132662.471000424	3451768	3452872	2014/2/28  23:57:31.367	1.104	32.7	68.2	0.8	35.2	61.5	fm			Unidentified.calls
1263	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132687.697998219	132689.077998219	3478099	3479479	2014/2/28  23:57:58.698	1.38	45.6	67.9	1.1	48.8	64.5	fm			Unidentified.calls
1264	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132709.017999255	132710.121999255	3499419	3500523	2014/2/28  23:58:19.018	1.104	44.2	77.6	0.9	47.9	68.4	fm			Unidentified.calls
1265	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132731.195992016	132733.035992016	3521597	3523437	2014/2/28  23:58:41.196	1.84	31.6	79.0	1.7	32.2	73.2	fm			Unidentified.calls
1266	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132736.728993588	132738.109993588	3527130	3528511	2014/2/28  23:58:47.729	1.381	44.5	73.3	1.1	48.8	69.3	fm			Unidentified.calls
1267	Spectrogram 1	1	200_2014-02-28_23-00-00.wav	200_2014-02-28_23-00-00.wav	132742.710996949	132743.998996949	3533112	3534400	2014/2/28  23:58:53.711	1.288	42.0	66.8	0.9	44.9	64.5	fm			Unidentified.calls
1268	Spectrogram 1	1	200_2014-03-02_14-00-00.wav	200_2014-03-02_14-00-00.wav	133445.94399434	133446.95599434	635766	636778	2014/3/2  14:10:35.944	1.012	16.7	56.7	0.9	18.6	51.8		fm		Unidentified.calls
