Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Notes	Tags
17	Spectrogram 1	1	20050209_150000.wav	20050209_150000.wav	20988.070013804	20989.542381902	1494027	1494763	2005/2/9  15:49:48.070	1.472	40.3	65.2	0.6	43.0	62.5		Unidentified.calls.
18	Spectrogram 1	1	20050211_110000.wav	20050211_110000.wav	24254.11252454	24255.584892638	1327046	1327782	2005/2/11  11:44:14.113	1.472	49.3	94.8	0.6	52.7	85.0		Unidentified.calls.
19	Spectrogram 1	1	20050213_070000.wav	20050213_070000.wav	26056.708173313	26057.812449387	428342	428894	2005/2/13  7:14:16.708	1.104	15.6	32.1	0.8	16.6	28.3		Unidentified.calls.
20	Spectrogram 1	1	20050213_070000.wav	20050213_070000.wav	28083.125777607	28084.874214724	1441551	1442425	2005/2/13  7:48:03.126	1.748	9.3	33.7	0.9	11.7	28.3		Unidentified.calls.
21	Spectrogram 1	1	20050213_070000.wav	20050213_070000.wav	28758.62965184	28759.917973926	1779303	1779947	2005/2/13  7:59:18.630	1.288	20.3	46.3	0.9	21.5	43.9	colon	Unidentified.calls.
22	Spectrogram 1	1	20050216_230000.wav	20050216_230000.wav	33005.379338957	33013.293317485	302674	306631	2005/2/16  23:10:05.379	7.914	16.4	38.9	6.6	17.6	36.1		Unidentified.calls.
23	Spectrogram 1	1	20050216_230000.wav	20050216_230000.wav	33028.385090491	33034.090516871	314177	317029	2005/2/16  23:10:28.385	5.705	15.9	34.8	4.5	18.6	33.2		Unidentified.calls.
24	Spectrogram 1	1	20050216_230000.wav	20050216_230000.wav	33636.815197853	33645.649406442	618392	622809	2005/2/16  23:20:36.815	8.834	11.0	38.1	7.7	11.7	34.2		Unidentified.calls.
25	Spectrogram 1	1	20050216_230000.wav	20050216_230000.wav	35166.538628834	35167.918973926	1383253	1383943	2005/2/16  23:46:06.539	1.38	46.1	70.7	0.9	48.8	65.4		Unidentified.calls.
26	Spectrogram 1	1	20050218_190000.wav	20050218_190000.wav	36237.796443252	36241.477363497	118880	120721	2005/2/18  19:03:57.796	3.681	101.4	121.2	2.8	102.5	117.2		Unidentified.calls.
27	Spectrogram 1	1	20050218_190000.wav	20050218_190000.wav	38338.108521472	38350.255558282	1169036	1175110	2005/2/18  19:38:58.109	12.147	23.6	52.6	10.3	26.4	49.8		Unidentified.calls.
28	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	39671.250806748	39674.931726994	35605	37446	2005/2/20  15:01:11.251	3.681	30.2	80.3	2.9	31.2	76.2		Unidentified.calls.
29	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	39681.741429448	39683.765935583	40851	41863	2005/2/20  15:01:21.741	2.025	59.7	110.6	1.5	62.5	103.5		Unidentified.calls.
30	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	39686.618648773	39699.685915644	43289	49823	2005/2/20  15:01:26.619	13.067	73.2	152.5	11.4	74.2	145.5		Unidentified.calls.
31	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	39745.421349693	39746.525625767	72691	73243	2005/2/20  15:02:25.421	1.104	73.3	121.8	0.6	78.1	113.3		Unidentified.calls.
32	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	39750.298569018	39756.740179448	75129	78350	2005/2/20  15:02:30.299	6.442	95.6	153.6	5.1	100.6	147.5		Unidentified.calls.
33	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	39983.322825153	39989.396343558	191641	194678	2005/2/20  15:06:23.323	6.074	76.3	149.8	5.2	78.1	143.6		Unidentified.calls.
34	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	40164.446105828	40169.599394172	282203	284780	2005/2/20  15:09:24.446	5.153	79.2	150.3	4.0	82.0	142.6		Unidentified.calls.
35	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	40193.617398773	40195.089766871	296789	297525	2005/2/20  15:09:53.617	1.472	47.9	89.9	1.1	50.8	85.9		Unidentified.calls.
36	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	40331.489866564	40334.434602761	365725	367197	2005/2/20  15:12:11.490	2.945	35.1	56.6	2.0	37.1	51.8		Unidentified.calls.
37	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	40343.084765337	40345.201294479	371522	372581	2005/2/20  15:12:23.085	2.117	37.9	74.1	1.7	40.0	71.3		Unidentified.calls.
38	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	40347.593892638	40348.882214724	373777	374421	2005/2/20  15:12:27.594	1.288	38.4	56.4	0.8	41.0	53.7		Unidentified.calls.
39	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	40372.716173313	40374.372587423	386338	387166	2005/2/20  15:12:52.716	1.656	78.7	99.1	1.1	83.0	96.7		Unidentified.calls.
40	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	40374.464610429	40375.660909509	387212	387810	2005/2/20  15:12:54.465	1.196	16.6	35.7	0.9	18.6	33.2		Unidentified.calls.
41	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	40649.968486196	40651.256808282	524964	525608	2005/2/20  15:17:29.968	1.288	17.4	35.7	0.6	19.5	33.2	colon	Unidentified.calls.
42	Spectrogram 1	1	20050220_150000.wav	20050220_150000.wav	42487.073115031	42494.987093558	1443517	1447474	2005/2/20  15:48:07.073	7.914	25.5	29.1	6.8	26.4	28.3		Unidentified.calls.
43	Spectrogram 1	1	20050222_110000.wav	20050222_110000.wav	43443.299171779	43444.679516871	121628	122318	2005/2/22  11:04:03.299	1.38	17.0	39.0	0.8	19.5	36.1		Unidentified.calls.
44	Spectrogram 1	1	20050222_110000.wav	20050222_110000.wav	43466.914075153	43473.447708589	133435	136702	2005/2/22  11:04:26.914	6.534	71.3	76.6	5.1	72.3	75.2		Unidentified.calls.
45	Spectrogram 1	1	20050222_110000.wav	20050222_110000.wav	43919.619251534	43921.183642638	359788	360570	2005/2/22  11:11:59.619	1.564	12.6	34.3	0.9	14.6	31.2		Unidentified.calls.
46	Spectrogram 1	1	20050222_110000.wav	20050222_110000.wav	44759.41720092	44760.797546012	779687	780377	2005/2/22  11:25:59.417	1.38	23.8	56.3	1.1	25.4	52.7		Unidentified.calls.
47	Spectrogram 1	1	20050222_110000.wav	20050222_110000.wav	44891.067113497	44892.539481595	845512	846248	2005/2/22  11:28:11.067	1.472	9.4	29.9	0.6	10.7	27.3	colon	Unidentified.calls.
48	Spectrogram 1	1	20050222_110000.wav	20050222_110000.wav	44893.091619632	44894.379941718	846524	847168	2005/2/22  11:28:13.092	1.288	10.0	31.1	0.8	10.7	27.3	colon	Unidentified.calls.
49	Spectrogram 1	1	20050222_110000.wav	20050222_110000.wav	46382.250909509	46383.631254601	1591103	1591794	2005/2/22  11:53:02.251	1.38	9.6	31.5	0.8	11.7	27.3		Unidentified.calls.
50	Spectrogram 1	1	20050224_070000.wav	20050224_070000.wav	47315.14477454	47316.525119632	257548	258239	2005/2/24  7:08:35.145	1.38	35.2	65.3	0.9	38.1	61.5		Unidentified.calls.
51	Spectrogram 1	1	20050224_070000.wav	20050224_070000.wav	47389.556377301	47390.844699387	294754	295398	2005/2/24  7:09:49.556	1.288	21.1	38.9	0.6	23.4	36.1		Unidentified.calls.
52	Spectrogram 1	1	20050226_030000.wav	20050226_030000.wav	51421.482358896	51423.04675	510715	511497	2005/2/26  3:17:01.482	1.564	63.3	93.5	0.8	65.4	90.8		Unidentified.calls.
53	Spectrogram 1	1	20050226_030000.wav	20050226_030000.wav	51879.378832822	51885.544374233	739663	742746	2005/2/26  3:24:39.379	6.166	32.7	36.3	5.4	33.2	36.1	tonal	Unidentified.calls.
54	Spectrogram 1	1	20050226_030000.wav	20050226_030000.wav	52807.188785276	52812.250050613	1203568	1206099	2005/2/26  3:40:07.189	5.061	38.9	68.7	4.0	41.0	66.4		Unidentified.calls.
55	Spectrogram 1	1	20050226_030000.wav	20050226_030000.wav	52827.893961656	52832.127019939	1213921	1216038	2005/2/26  3:40:27.894	4.233	56.6	74.6	3.1	57.6	71.3		Unidentified.calls.
56	Spectrogram 1	1	20050226_030000.wav	20050226_030000.wav	53346.562628834	53353.648400307	1473255	1476798	2005/2/26  3:49:06.563	7.086	33.0	36.6	5.7	33.2	36.1	tonal	Unidentified.calls.
57	Spectrogram 1	1	20050226_030000.wav	20050226_030000.wav	53912.053001534	53921.163279141	1756001	1760556	2005/2/26  3:58:32.053	9.11	32.9	36.3	7.4	33.2	36.1	tonal	Unidentified.calls.
58	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	54028.24304908	54039.837947853	14094	19891	2005/2/27  23:00:28.243	11.595	32.9	36.0	10.6	33.2	35.2	tonal	Unidentified.calls.
59	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	54127.224794479	54139.371831288	63584	69658	2005/2/27  23:02:07.225	12.147	33.5	36.3	10.0	34.2	36.1	tonal	Unidentified.calls.
60	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	54226.574631902	54238.905714724	113259	119425	2005/2/27  23:03:46.575	12.331	33.5	36.9	9.5	34.2	36.1	tonal	Unidentified.calls.
61	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	54328.003989264	54340.427095092	163974	170186	2005/2/27  23:05:27.004	12.423	32.7	36.3	10.8	33.2	36.1	tonal	Unidentified.calls.
62	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	54409.869455521	54410.697662577	204907	205321	2005/2/27  23:06:49.869	0.828	48.4	76.3	0.5	50.8	73.2		Unidentified.calls.
63	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	54441.525369632	54443.089760736	220735	221517	2005/2/27  23:07:21.525	1.564	45.6	67.6	1.1	46.9	64.5		Unidentified.calls.
64	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	54673.537372699	54674.457602761	336741	337201	2005/2/27  23:11:13.537	0.92	54.6	76.0	0.8	55.7	73.2		Unidentified.calls.
65	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	54686.052501534	54687.248800614	342998	343596	2005/2/27  23:11:25.053	1.196	50.4	76.6	0.8	52.7	73.2		Unidentified.calls.
66	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	55008.027995399	55019.89896319	503986	509921	2005/2/27  23:16:47.028	11.871	32.7	36.6	10.0	33.2	36.1	tonal	Unidentified.calls.
67	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	55107.65390184	55120.261053681	553799	560103	2005/2/27  23:18:27.654	12.607	32.9	36.6	10.0	33.2	36.1	tonal	Unidentified.calls.
68	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	55306.335572086	55311.856952454	653140	655900	2005/2/27  23:21:46.336	5.521	32.7	36.6	4.2	33.2	36.1	tonal	Unidentified.calls.
69	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	56209.372331288	56211.028745399	1104658	1105486	2005/2/27  23:36:49.372	1.656	47.3	85.9	1.4	48.8	82.0		Unidentified.calls.
70	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	56408.808190184	56410.372581288	1204376	1205158	2005/2/27  23:40:08.808	1.564	36.9	77.7	1.1	38.1	73.2		Unidentified.calls.
71	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	56438.807690184	56440.280058282	1219376	1220112	2005/2/27  23:40:38.808	1.472	56.6	76.3	1.4	57.6	74.2		Unidentified.calls.
72	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	56511.892961656	56513.641398773	1255918	1256793	2005/2/27  23:41:51.893	1.748	90.1	116.0	1.2	90.8	112.3		Unidentified.calls.
73	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	56691.359828221	56700.65415184	1345652	1350299	2005/2/27  23:44:51.360	9.294	33.2	37.2	8.0	33.2	37.1	tonal	Unidentified.calls.
74	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	56805.249300613	56808.470105828	1402597	1404207	2005/2/27  23:46:45.249	3.221	47.0	60.8	2.5	49.8	59.6		Unidentified.calls.
75	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	56999.623894172	57000.820193252	1499784	1500382	2005/2/27  23:49:59.624	1.196	77.1	97.4	0.8	79.1	94.7		Unidentified.calls.
76	Spectrogram 1	1	20050227_230000.wav	20050227_230000.wav	57144.617142638	57145.99748773	1572281	1572971	2005/2/27  23:52:24.617	1.38	31.0	60.5	0.9	33.2	55.7		Unidentified.calls.
77	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	61307.465524862	61309.927993686	53701	54932	2005/3/3  15:01:47.466	2.462	66.9	92.1	2.0	68.4	89.8		Unidentified.calls.
78	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	61326.816647198	61327.953171271	63376	63945	2005/3/3  15:02:06.817	1.137	61.8	81.2	0.9	62.5	80.1		Unidentified.calls.
79	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	61561.948135754	61563.274080505	180942	181605	2005/3/3  15:06:01.948	1.326	47.2	63.5	0.8	47.9	61.5		Unidentified.calls.
80	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	61570.661486977	61574.165769534	185299	187051	2005/3/3  15:06:10.661	3.504	46.9	65.6	2.8	47.9	64.5		Unidentified.calls.
81	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	61616.974842936	61620.479125493	208455	210208	2005/3/3  15:06:56.975	3.504	48.2	71.7	2.9	49.8	70.3		Unidentified.calls.
82	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	61635.443359116	61639.137062352	217690	219537	2005/3/3  15:07:15.443	3.694	49.6	74.0	2.9	50.8	71.3		Unidentified.calls.
83	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	61668.716901342	61672.315894238	234326	236126	2005/3/3  15:07:48.717	3.599	49.3	63.5	3.1	50.8	63.5		Unidentified.calls.
84	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	61802.762244672	61803.898768745	301349	301917	2005/3/3  15:10:02.762	1.137	26.8	43.5	0.6	30.3	42.0		Unidentified.calls.
85	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	61846.23429045	61850.022704025	323085	324979	2005/3/3  15:10:46.234	3.788	42.5	65.2	2.8	45.9	62.5		Unidentified.calls.
86	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	61987.507832676	61989.117908445	393722	394527	2005/3/3  15:13:07.508	1.61	50.3	81.2	0.9	53.7	76.2		Unidentified.calls.
87	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	62361.704312549	62363.219677979	580820	581578	2005/3/3  15:19:21.704	1.515	54.0	69.6	0.6	55.7	68.4		Unidentified.calls.
88	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	62560.7511618	62562.361237569	680344	681149	2005/3/3  15:22:40.751	1.61	47.2	65.2	0.9	49.8	64.5		Unidentified.calls.
89	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	62754.115390687	62755.346625099	777026	777641	2005/3/3  15:25:54.115	1.231	48.9	73.7	0.9	50.8	71.3		Unidentified.calls.
90	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	62939.997502762	62941.039316496	869967	870488	2005/3/3  15:28:59.998	1.042	55.4	77.4	0.8	57.6	76.2		Unidentified.calls.
91	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	62976.176852407	62977.408086819	888056	888672	2005/3/3  15:29:36.177	1.231	49.3	71.7	1.1	49.8	70.3		Unidentified.calls.
92	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	62983.3748382	62984.511362273	891655	892224	2005/3/3  15:29:43.375	1.137	52.0	82.9	0.8	54.7	80.1		Unidentified.calls.
93	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	62987.257962115	62989.152168903	893597	894544	2005/3/3  15:29:47.258	1.894	53.0	71.3	1.2	54.7	69.3		Unidentified.calls.
94	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	63212.634285714	63216.990961326	1006285	1008463	2005/3/3  15:33:32.634	4.357	24.5	42.1	2.9	27.3	41.0		Unidentified.calls.
95	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	63855.010740798	63880.961228528	1327473	1340449	2005/3/3  15:44:14.011	25.95	65.0	91.5	24.0	66.4	88.9	train like pulses, pulses at difference frequencies	Unidentified.calls.
96	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	63959.636803473	63960.962748224	1379786	1380449	2005/3/3  15:45:59.637	1.326	44.8	65.2	0.9	46.9	61.5		Unidentified.calls.
97	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	64131.396837423	64152.102013804	1465666	1476019	2005/3/3  15:48:51.397	20.705	65.6	107.0	18.9	67.4	103.5	train like pulses, pulses at difference frequencies	Unidentified.calls.
98	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	64178.193982636	64179.425217048	1489065	1489681	2005/3/3  15:49:38.194	1.231	66.2	94.4	0.8	70.3	89.8		Unidentified.calls.
99	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	64245.930470859	64247.126769939	1522933	1523531	2005/3/3  15:50:45.930	1.196	41.7	74.9	0.6	44.9	71.3		Unidentified.calls.
100	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	64391.081138037	64421.356707055	1595509	1610646	2005/3/3  15:53:11.081	30.276	46.3	99.0	27.3	48.8	92.8	train like pulses, pulses at difference frequencies	Unidentified.calls.
101	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	64488.460983425	64490.260479874	1644198	1645098	2005/3/3  15:54:48.461	1.799	55.0	80.2	1.5	57.6	79.1		Unidentified.calls.
102	Spectrogram 1	1	20050303_150000.wav	20050303_150000.wav	64680.940602761	64712.228424847	1740438	1756082	2005/3/3  15:58:00.941	31.288	59.5	91.1	27.9	60.5	87.9	train like pulses, pulses at difference frequencies	Unidentified.calls.
103	Spectrogram 1	1	20050305_110000.wav	20050305_110000.wav	64916.265920245	64917.646265337	58099	58789	2005/3/5  11:01:56.266	1.38	62.2	112.9	0.9	65.4	109.4		Unidentified.calls.
104	Spectrogram 1	1	20050305_110000.wav	20050305_110000.wav	65108.892076687	65114.689526074	154412	157311	2005/3/5  11:05:08.892	5.797	17.1	28.9	5.1	17.6	28.3		Unidentified.calls.
105	Spectrogram 1	1	20050305_110000.wav	20050305_110000.wav	65111.19265184	65114.137388037	155562	157035	2005/3/5  11:05:11.193	2.945	36.2	83.4	2.3	39.1	79.1		Unidentified.calls.
106	Spectrogram 1	1	20050305_110000.wav	20050305_110000.wav	66959.799803681	66960.996102761	1079866	1080464	2005/3/5  11:35:59.800	1.196	31.4	60.0	0.9	33.2	56.6		Unidentified.calls.
107	Spectrogram 1	1	20050307_070000.wav	20050307_070000.wav	69945.167269939	69946.547615031	772549	773239	2005/3/7  7:25:45.167	1.38	17.8	39.7	0.9	20.5	36.1		Unidentified.calls.
108	Spectrogram 1	1	20050307_070000.wav	20050307_070000.wav	69969.645389571	69972.406079755	784788	786168	2005/3/7  7:26:09.645	2.761	68.2	99.9	2.0	69.3	93.8		Unidentified.calls.
109	Spectrogram 1	1	20050307_070000.wav	20050307_070000.wav	70028.264044479	70030.38057362	814097	815155	2005/3/7  7:27:08.264	2.117	71.1	95.2	1.5	73.2	92.8		Unidentified.calls.
110	Spectrogram 1	1	20050309_030000.wav	20050309_030000.wav	72042.958717791	72091.822934049	21442	45874	2005/3/9  3:00:42.959	48.864	92.3	104.7	46.8	92.8	103.5		Unidentified.calls.
111	Spectrogram 1	1	20050309_030000.wav	20050309_030000.wav	72109.547365031	72120.590125767	54737	60258	2005/3/9  3:01:49.547	11.043	93.6	103.7	9.7	93.8	103.5		Unidentified.calls.
112	Spectrogram 1	1	20050309_030000.wav	20050309_030000.wav	72687.691279141	72689.62376227	343809	344775	2005/3/9  3:11:27.691	1.932	70.7	92.8	1.4	73.2	90.8		Unidentified.calls.
113	Spectrogram 1	1	20050309_030000.wav	20050309_030000.wav	73478.993104294	73480.741541411	739460	740334	2005/3/9  3:24:38.993	1.748	28.3	71.0	1.1	31.2	67.4		Unidentified.calls.
114	Spectrogram 1	1	20050309_030000.wav	20050309_030000.wav	73530.249918712	73532.090378834	765088	766008	2005/3/9  3:25:30.250	1.84	68.7	100.1	1.2	70.3	95.7		Unidentified.calls.
115	Spectrogram 1	1	20050309_030000.wav	20050309_030000.wav	73571.200156442	73572.67252454	785563	786299	2005/3/9  3:26:11.200	1.472	59.7	83.1	1.1	61.5	79.1		Unidentified.calls.
116	Spectrogram 1	1	20050309_030000.wav	20050309_030000.wav	74340.175400307	74341.187653374	1170051	1170557	2005/3/9  3:39:00.175	1.012	65.3	96.4	0.8	68.4	91.8		Unidentified.calls.
117	Spectrogram 1	1	20050309_030000.wav	20050309_030000.wav	74589.544742331	74591.293179448	1294735	1295610	2005/3/9  3:43:09.545	1.748	67.9	101.2	1.1	71.3	96.7		Unidentified.calls.
118	Spectrogram 1	1	20050309_030000.wav	20050309_030000.wav	74831.77129908	74833.42771319	1415849	1416677	2005/3/9  3:47:11.771	1.656	63.6	96.4	1.1	68.4	88.9		Unidentified.calls.
119	Spectrogram 1	1	20050310_230000.wav	20050310_230000.wav	76054.022861963	76055.311184049	226972	227617	2005/3/10  23:07:33.023	1.288	14.7	44.4	0.8	17.6	40.0		Unidentified.calls.
120	Spectrogram 1	1	20050310_230000.wav	20050310_230000.wav	76553.011008682	76554.81050513	476467	477366	2005/3/10  23:15:52.011	1.799	77.1	110.7	1.1	79.1	104.5		Unidentified.calls.
121	Spectrogram 1	1	20050310_230000.wav	20050310_230000.wav	77492.62351227	77493.81981135	946273	946871	2005/3/10  23:31:32.624	1.196	68.2	109.2	0.6	72.3	103.5		Unidentified.calls.
122	Spectrogram 1	1	20050310_230000.wav	20050310_230000.wav	77945.47772546	77954.588003067	1172700	1177255	2005/3/10  23:39:05.478	9.11	31.4	66.7	7.1	35.2	59.6		Unidentified.calls.
123	Spectrogram 1	1	20050310_230000.wav	20050310_230000.wav	78280.152394172	78292.115384969	1340037	1346019	2005/3/10  23:44:40.152	11.963	32.8	37.6	9.5	34.2	36.1	tonal	Unidentified.calls.
124	Spectrogram 1	1	20050312_190000.wav	20050312_190000.wav	79443.268601227	79505.752222393	121593	152835	2005/3/12  19:04:03.269	62.484	20.5	30.0	59.4	20.5	29.3		Unidentified.calls.
125	Spectrogram 1	1	20050314_150000.wav	20050314_150000.wav	84420.948021472	84422.328366564	810431	811121	2005/3/14  15:27:00.948	1.38	28.4	55.4	0.9	31.2	51.8		Unidentified.calls.
126	Spectrogram 1	1	20050314_150000.wav	20050314_150000.wav	84473.366125767	84474.654447853	836640	837284	2005/3/14  15:27:53.366	1.288	27.3	69.6	0.8	29.3	62.5		Unidentified.calls.
127	Spectrogram 1	1	20050314_150000.wav	20050314_150000.wav	84639.397633436	84640.777978528	919656	920346	2005/3/14  15:30:39.398	1.38	33.3	75.9	0.9	36.1	67.4		Unidentified.calls.
128	Spectrogram 1	1	20050314_150000.wav	20050314_150000.wav	84734.181329755	84735.377628834	967048	967646	2005/3/14  15:32:14.181	1.196	31.7	62.2	0.8	38.1	53.7		Unidentified.calls.
129	Spectrogram 1	1	20050314_150000.wav	20050314_150000.wav	85485.488156442	85486.592432515	1342701	1343253	2005/3/14  15:44:45.488	1.104	30.0	69.1	0.9	32.2	65.4		Unidentified.calls.
130	Spectrogram 1	1	20050316_110000.wav	20050316_110000.wav	88088.162825153	88095.708711656	844036	847809	2005/3/16  11:28:08.163	7.546	34.9	65.2	6.2	38.1	59.6		Unidentified.calls.
131	Spectrogram 1	1	20050316_110000.wav	20050316_110000.wav	89316.894007669	89325.452147239	1458402	1462681	2005/3/16  11:48:36.894	8.558	39.6	74.2	6.5	43.9	67.4		Unidentified.calls.
132	Spectrogram 1	1	20050316_110000.wav	20050316_110000.wav	89630.035292945	89634.728466258	1614973	1617319	2005/3/16  11:53:49.035	4.693	46.4	64.4	4.0	47.9	61.5		Unidentified.calls.
