Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Tags
18	Spectrogram 1	1	20150614_010000.wav	20150614_010000.wav	255026.742666326	255060.642076766	2988827	3022726	2015/6/14  1:49:48.743	33.899	109.3	122.3	MinkeDS
19	Spectrogram 1	1	20150614_010000.wav	20150614_010000.wav	253340.663380757	253410.427384852	1302747	1372511	2015/6/14  1:21:42.663	69.764	102.1	124.2	MinkeDS
20	Spectrogram 1	1	20150614_010000.wav	20150614_010000.wav	255368.614051177	255391.704953941	3330698	3353789	2015/6/14  1:55:30.614	23.091	112.8	123.9	MinkeDS
21	Spectrogram 1	1	20150615_200000.wav	20150615_200000.wav	258251.733979529	258283.299734903	2613260	2644826	2015/6/15  20:43:33.734	31.566	106.3	124.2	MinkeDS
22	Spectrogram 1	1	20150624_160000.wav	20150624_160000.wav	277199.00776868	277239.662496418	3557764	3598418	2015/6/24  16:59:17.008	40.655	106.6	124.6	MinkeDS
23	Spectrogram 1	1	20150624_160000.wav	20150624_160000.wav	276863.339493347	276909.889770727	3222095	3268646	2015/6/24  16:53:42.339	46.55	110.3	124.6	MinkeDS
24	Spectrogram 1	1	20150624_160000.wav	20150624_160000.wav	275166.708930399	275221.734060389	1525465	1580490	2015/6/24  16:25:25.709	55.025	103.2	123.9	MinkeDS
25	Spectrogram 1	1	20150624_160000.wav	20150624_160000.wav	274332.923622313	274455.048376663	691680	813804	2015/6/24  16:11:31.924	122.125	104.3	124.6	MinkeDS
26	Spectrogram 1	1	20150624_160000.wav	20150624_160000.wav	275467.323050153	275548.75532958	1826079	1907511	2015/6/24  16:30:26.323	81.432	96.8	123.9	MinkeDS
27	Spectrogram 1	1	20150624_160000.wav	20150624_160000.wav	275293.009699079	275333.664426817	1651766	1692420	2015/6/24  16:27:31.010	40.655	102.4	123.1	MinkeDS
28	Spectrogram 1	1	20150624_160000.wav	20150624_160000.wav	275996.760190379	276051.908144319	2355516	2410664	2015/6/24  16:39:15.760	55.148	105.0	123.1	MinkeDS
29	Spectrogram 1	1	20150624_160000.wav	20150624_160000.wav	275078.729234391	275136.088019447	1437485	1494844	2015/6/24  16:23:57.729	57.359	102.4	123.5	MinkeDS
30	Spectrogram 1	1	20150624_160000.wav	20150624_160000.wav	274835.953613101	274894.909109519	1194710	1253665	2015/6/24  16:19:54.954	58.955	99.4	123.9	MinkeDS
31	Spectrogram 1	1	20150626_100000.wav	20150626_100000.wav	279044.735025589	279087.723408393	1802890	1845878	2015/6/26  10:30:02.735	42.988	99.4	123.5	MinkeDS
32	Spectrogram 1	1	20150626_100000.wav	20150626_100000.wav	278566.798867963	278626.491308086	1324954	1384646	2015/6/26  10:22:04.799	59.692	96.4	123.9	MinkeDS
33	Spectrogram 1	1	20150626_100000.wav	20150626_100000.wav	277828.485516888	277879.211808598	586641	637367	2015/6/26  10:09:46.486	50.726	101.7	124.6	MinkeDS
34	Spectrogram 1	1	20150626_100000.wav	20150626_100000.wav	280320.591897646	280355.596723644	3078747	3113752	2015/6/26  10:51:18.592	35.005	102.4	123.9	MinkeDS
35	Spectrogram 1	1	20150626_100000.wav	20150626_100000.wav	277242.978743091	277358.495168884	1134	116650	2015/6/26  10:00:01.979	115.516	103.2	123.9	MinkeDS
36	Spectrogram 1	1	20150626_100000.wav	20150626_100000.wav	279882.696348004	279919.420709314	2640851	2677576	2015/6/26  10:44:00.696	36.724	100.2	123.9	MinkeDS
37	Spectrogram 1	1	20150626_100000.wav	20150626_100000.wav	278694.696348004	278727.244694985	1452851	1485400	2015/6/26  10:24:12.696	32.548	98.3	123.1	MinkeDS
38	Spectrogram 1	1	20150626_100000.wav	20150626_100000.wav	279338.888805527	279383.473899693	2097044	2141629	2015/6/26  10:34:57.889	44.585	96.4	123.5	MinkeDS
39	Spectrogram 1	1	20150626_100000.wav	20150626_100000.wav	277583.990360287	277651.543533265	342145	409699	2015/6/26  10:05:42.990	67.553	100.9	124.2	MinkeDS
40	Spectrogram 1	1	20150626_100000.wav	20150626_100000.wav	277471.077402252	277510.749538383	229232	268905	2015/6/26  10:03:49.077	39.672	103.2	122.7	MinkeDS
41	Spectrogram 1	1	20150628_040000.wav	20150628_040000.wav	281610.917831116	281679.822067554	768472	837376	2015/6/28  4:12:48.918	68.904	115.1	126.8	MinkeDS
42	Spectrogram 1	1	20150628_040000.wav	20150628_040000.wav	282762.978743091	282816.40716172	1920533	1973961	2015/6/28  4:32:00.979	53.428	124.0	153.0	MinkeDS
43	Spectrogram 1	1	20150628_040000.wav	20150628_040000.wav	282334.823032753	282375.109288639	1492377	1532663	2015/6/28  4:24:52.823	40.286	112.9	123.5	MinkeDS
44	Spectrogram 1	1	20150628_040000.wav	20150628_040000.wav	283352.514542477	283387.519368475	2510069	2545073	2015/6/28  4:41:50.515	35.005	91.2	123.5	MinkeDS
45	Spectrogram 1	1	20150628_040000.wav	20150628_040000.wav	283687.077402252	283727.609306039	2844631	2885163	2015/6/28  4:47:24.077	40.532	106.6	123.1	MinkeDS
46	Spectrogram 1	1	20150629_230000.wav	20150629_230000.wav	285089.35786694	285115.642192426	646311	672595	2015/6/29  23:10:46.358	26.284	111.4	123.1	MinkeDS
47	Spectrogram 1	1	20150629_230000.wav	20150629_230000.wav	284864.760190379	284901.361727738	421713	458315	2015/6/29  23:07:01.760	36.602	119.6	149.4	MinkeDS
48	Spectrogram 1	1	20150629_230000.wav	20150629_230000.wav	284910.573524053	284960.93134391	467527	517884	2015/6/29  23:07:47.574	50.358	139.9	174.2	MinkeDS
49	Spectrogram 1	1	20150629_230000.wav	20150629_230000.wav	285779.658635619	285855.93230911	1336612	1412885	2015/6/29  23:22:16.659	76.274	104.7	123.5	MinkeDS
50	Spectrogram 1	1	20150629_230000.wav	20150629_230000.wav	285249.361727738	285305.492273286	806315	862445	2015/6/29  23:13:26.362	56.131	106.6	123.9	MinkeDS
51	Spectrogram 1	1	20150629_230000.wav	20150629_230000.wav	287957.185713408	288021.791111566	3514139	3578744	2015/6/29  23:58:34.186	64.605	96.0	122.7	MinkeDS
52	Spectrogram 1	1	20150629_230000.wav	20150629_230000.wav	287254.221495394	287291.559976459	2811174	2848513	2015/6/29  23:46:51.221	37.338	94.5	122.0	MinkeDS
53	Spectrogram 1	1	20150629_230000.wav	20150629_230000.wav	286203.675078813	286223.695382804	1760628	1780648	2015/6/29  23:29:20.675	20.02	111.8	123.1	MinkeDS
54	Spectrogram 1	1	20150701_170000.wav	20150701_170000.wav	290070.124708291	290187.459328557	2026477	2143811	2015/7/1  17:33:46.125	117.335	107.1	123.5	MinkeDS
55	Spectrogram 1	1	20150701_170000.wav	20150701_170000.wav	288693.858831116	288744.585122825	650211	700937	2015/7/1  17:10:50.859	50.726	102.8	122.7	MinkeDS
56	Spectrogram 1	1	20150701_170000.wav	20150701_170000.wav	290657.572500512	290731.512518936	2613925	2687865	2015/7/1  17:43:33.573	73.94	109.0	123.5	MinkeDS
57	Spectrogram 1	1	20150701_170000.wav	20150701_170000.wav	289696.810466735	289771.118957011	1653162	1727471	2015/7/1  17:27:33.810	74.308	106.2	123.9	MinkeDS
58	Spectrogram 1	1	20150701_170000.wav	20150701_170000.wav	289307.798849539	289346.979689867	1264151	1303332	2015/7/1  17:21:04.799	39.181	108.4	122.4	MinkeDS
59	Spectrogram 1	1	20150703_110000.wav	20150703_110000.wav	292329.871338792	292378.141151484	685665	733935	2015/7/3  11:11:25.871	48.27	106.8	124.6	MinkeDS
60	Spectrogram 1	1	20150703_110000.wav	20150703_110000.wav	292965.588943705	293002.681776868	1321383	1358476	2015/7/3  11:22:01.589	37.093	110.2	123.1	MinkeDS
61	Spectrogram 1	1	20150703_110000.wav	20150703_110000.wav	291863.037666326	291889.567639713	218832	245362	2015/7/3  11:03:38.038	26.53	110.6	123.9	MinkeDS
62	Spectrogram 1	1	20150703_110000.wav	20150703_110000.wav	292533.466119754	292573.875199591	889260	929669	2015/7/3  11:14:49.466	40.409	108.7	123.1	MinkeDS
63	Spectrogram 1	1	20150703_110000.wav	20150703_110000.wav	293024.053144319	293073.305548618	1379847	1429100	2015/7/3  11:22:59.053	49.252	108.3	123.5	MinkeDS
64	Spectrogram 1	1	20150705_060000.wav	20150707_000000.wav	298845.243387922	298921.394237462	3600479	76072	2015/7/5  7:00:00.243	76.151	99.8	123.9	MinkeDS
65	Spectrogram 1	1	20150705_060000.wav	20150705_060000.wav	295245.906162743	295273.787199591	1142	29023	2015/7/5  6:00:01.906	27.881	110.0	124.6	MinkeDS
66	Spectrogram 1	1	20150705_060000.wav	20150705_060000.wav	297436.058691914	297490.960997953	2191295	2246197	2015/7/5  6:36:31.059	54.902	98.6	123.4	MinkeDS
67	Spectrogram 1	1	20150705_060000.wav	20150705_060000.wav	295368.522212897	295456.58698567	123758	211823	2015/7/5  6:02:03.522	88.065	107.3	123.5	MinkeDS
68	Spectrogram 1	1	20150705_060000.wav	20150705_060000.wav	296209.676958035	296252.174045036	964913	1007410	2015/7/5  6:16:04.677	42.497	102.6	123.1	MinkeDS
69	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	299900.616685773	299968.0470348	1055295	1122725	2015/7/7  0:17:35.617	67.43	105.6	136.1	MinkeDS
70	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	300042.909732856	300100.882637666	1197588	1255561	2015/7/7  0:19:57.910	57.973	88.4	123.9	MinkeDS
71	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	299260.244353122	299419.339116684	414922	574017	2015/7/7  0:06:54.244	159.095	101.8	122.3	MinkeDS
72	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	300549.795595701	300655.227577277	1704474	1809906	2015/7/7  0:28:24.796	105.432	106.3	123.1	MinkeDS
73	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	301168.231472876	301269.806880246	2322909	2424485	2015/7/7  0:38:42.231	101.575	93.1	122.5	MinkeDS
74	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	299681.546087001	299798.757883316	836224	953436	2015/7/7  0:13:56.546	117.212	98.3	123.1	MinkeDS
75	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	300098.242422723	300210.626337769	1252920	1365304	2015/7/7  0:20:52.242	112.384	109.0	123.1	MinkeDS
76	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	299470.471627431	299553.500618219	625150	708179	2015/7/7  0:10:25.472	83.029	96.0	123.1	MinkeDS
77	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	300347.404889458	300398.131181167	1502083	1552809	2015/7/7  0:25:02.405	50.726	106.3	124.6	MinkeDS
78	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	299640.645711361	299690.389411464	795324	845067	2015/7/7  0:13:15.646	49.744	89.2	123.9	MinkeDS
79	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	300296.17471955	300353.165032753	1450853	1507843	2015/7/7  0:24:10.175	56.99	93.0	123.1	MinkeDS
80	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	300486.17278915	300539.969679632	1640851	1694648	2015/7/7  0:27:20.173	53.797	93.0	123.1	MinkeDS
81	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	300959.478085977	301014.503215967	2114156	2169181	2015/7/7  0:35:14.478	55.025	89.4	124.2	MinkeDS
82	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	298998.946480041	299127.003531218	153624	281682	2015/7/7  0:02:33.946	128.057	97.9	123.9	MinkeDS
83	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	298976.825586489	298996.600242579	131504	151278	2015/7/7  0:02:11.826	19.775	89.6	123.1	MinkeDS
84	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	299862.295613101	299920.145693961	1016974	1074824	2015/7/7  0:16:56.296	57.85	93.4	123.9	MinkeDS
85	Spectrogram 1	1	20150707_000000.wav	20150707_000000.wav	300695.232438076	300753.942286592	1849910	1908620	2015/7/7  0:30:49.232	58.71	89.0	122.9	MinkeDS
86	Spectrogram 1	1	20150712_070000.wav	20150712_070000.wav	310041.426825998	310076.063180143	394410	429046	2015/7/12  7:06:34.427	34.636	112.6	125.9	MinkeDS
87	Spectrogram 1	1	20150712_070000.wav	20150712_070000.wav	312926.229542477	312961.480016377	3279213	3314463	2015/7/12  7:54:39.230	35.25	105.7	124.6	MinkeDS
88	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	319266.2330174	319326.171105425	2418121	2478059	2015/7/15  20:40:18.233	59.938	112.5	139.5	MinkeDS
89	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	316981.566093142	317040.275941658	133454	192164	2015/7/15  20:02:13.566	58.71	93.3	121.6	MinkeDS
90	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	319846.962239509	319954.801668373	2998850	3106690	2015/7/15  20:49:58.962	107.839	94.1	124.4	MinkeDS
91	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	317983.842676561	318143.92003173	1135731	1295808	2015/7/15  20:18:55.843	160.077	102.3	122.9	MinkeDS
92	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	318717.979647902	318794.744617196	1869868	1946633	2015/7/15  20:31:09.980	76.765	114.6	164.4	MinkeDS
93	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	318193.210183214	318282.626019447	1345098	1434514	2015/7/15  20:22:25.210	89.416	103.5	124.2	MinkeDS
94	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	318891.076341863	318942.416753327	2042964	2094305	2015/7/15  20:34:02.076	51.34	117.0	152.5	MinkeDS
95	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	320252.174035824	320447.747512794	3404062	3599636	2015/7/15  20:56:44.174	195.573	85.8	135.4	MinkeDS
96	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	319005.402275333	319091.993160696	2157290	2243881	2015/7/15  20:35:57.402	86.591	103.9	141.5	MinkeDS
97	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	317258.794332651	317290.974207779	410682	442862	2015/7/15  20:06:50.794	32.18	101.0	124.1	MinkeDS
98	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	319436.665331627	319539.837450358	2588553	2691725	2015/7/15  20:43:08.665	103.172	100.5	125.4	MinkeDS
99	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	317597.668917093	317750.254011259	749557	902142	2015/7/15  20:12:29.669	152.585	109.3	123.9	MinkeDS
100	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	317171.07286694	317217.254672467	322961	369143	2015/7/15  20:05:22.073	46.182	84.8	123.7	MinkeDS
101	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	319627.719487206	319698.097611054	2779607	2849986	2015/7/15  20:46:19.719	70.378	124.3	144.7	MinkeDS
102	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	319687.719487206	319763.993160696	2839607	2915881	2015/7/15  20:47:19.719	76.274	97.3	130.8	MinkeDS
103	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	319219.191444217	319269.672088025	2371079	2421560	2015/7/15  20:39:31.191	50.481	110.0	130.9	MinkeDS
104	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	320015.895501535	320093.397414534	3167784	3245285	2015/7/15  20:52:47.896	77.502	92.5	144.4	MinkeDS
105	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	317457.230811668	317588.567362334	609119	740455	2015/7/15  20:10:09.231	131.337	103.2	123.1	MinkeDS
106	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	318622.016395087	318675.076341863	1773904	1826964	2015/7/15  20:29:33.016	53.06	102.9	123.0	MinkeDS
107	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	316855.265324463	316941.364914023	7153	93253	2015/7/15  20:00:07.265	86.1	101.5	124.1	MinkeDS
108	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	317822.966465711	317878.851363357	974854	1030739	2015/7/15  20:16:14.966	55.885	96.0	123.7	MinkeDS
109	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	319859.367458547	319944.60728045	3011255	3096495	2015/7/15  20:50:11.367	85.24	120.3	148.1	MinkeDS
110	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	318505.664366428	318536.861649949	1657552	1688750	2015/7/15  20:27:37.664	31.197	98.4	122.1	MinkeDS
111	Spectrogram 1	1	20150715_200000.wav	20150715_200000.wav	320098.348119754	320216.25911259	3250236	3368147	2015/7/15  20:54:10.348	117.911	110.0	138.2	MinkeDS
112	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	326198.677894575	326260.335517912	2149471	2211129	2015/7/19  9:35:49.678	61.658	96.4	122.4	MinkeDS
113	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	325799.453549642	325953.266883316	1750247	1904060	2015/7/19  9:29:10.454	153.813	102.0	122.7	MinkeDS
114	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	324555.629859775	324655.854203685	506423	606647	2015/7/19  9:08:26.630	100.224	101.8	123.9	MinkeDS
115	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	326974.323299898	327019.276865916	2925116	2970070	2015/7/19  9:48:45.323	44.954	100.2	122.4	MinkeDS
116	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	325460.702093142	325537.712710338	1411495	1488506	2015/7/19  9:23:31.702	77.011	105.8	123.1	MinkeDS
117	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	325120.489331627	325251.703058342	1071282	1202496	2015/7/19  9:17:51.489	131.214	93.6	123.5	MinkeDS
118	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	327129.156972364	327220.906463664	3079950	3171699	2015/7/19  9:51:19.157	91.749	99.3	123.5	MinkeDS
119	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	325639.277535312	325786.089903787	1590071	1736883	2015/7/19  9:26:30.278	146.812	100.2	123.9	MinkeDS
120	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	327221.336847492	327249.095060389	3172130	3199888	2015/7/19  9:52:52.337	27.758	98.9	123.1	MinkeDS
121	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	324053.594732856	324252.4844565	4388	203277	2015/7/19  9:00:04.595	198.89	107.4	123.0	MinkeDS
122	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	326119.787170931	326174.321005118	2070580	2125114	2015/7/19  9:34:30.787	54.534	103.5	124.2	MinkeDS
123	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	324373.173070624	324483.591802457	323966	434385	2015/7/19  9:05:23.173	110.419	99.3	118.5	MinkeDS
124	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	326451.156607984	326527.061809621	2401950	2477855	2015/7/19  9:40:01.157	75.905	103.5	122.0	MinkeDS
125	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	326041.081183214	326116.003793245	1991874	2066797	2015/7/19  9:33:11.081	74.923	94.5	123.9	MinkeDS
126	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	327083.551539406	327124.94321085	3034345	3075736	2015/7/19  9:50:34.552	41.392	101.7	122.4	MinkeDS
127	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	326909.349429887	326952.706284545	2860142	2903499	2015/7/19  9:47:40.349	43.357	106.9	124.6	MinkeDS
128	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	326762.953862845	326816.136633572	2713747	2766930	2015/7/19  9:45:13.954	53.183	97.3	123.5	MinkeDS
129	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	324896.751718526	325025.877142272	847545	976670	2015/7/19  9:14:07.752	129.125	100.8	123.0	MinkeDS
130	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	326611.84265609	326701.504140225	2562636	2652297	2015/7/19  9:42:42.843	89.661	93.2	123.2	MinkeDS
131	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	326310.1169652	326388.724293756	2260910	2339517	2015/7/19  9:37:40.117	78.607	97.9	123.5	MinkeDS
132	Spectrogram 1	1	20150719_090000.wav	20150719_090000.wav	324269.226261003	324307.915805527	220019	258709	2015/7/19  9:03:40.226	38.69	92.3	121.3	MinkeDS
133	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	327709.578634596	327800.836830092	59814	151072	2015/7/21  3:00:59.579	91.258	98.5	124.2	MinkeDS
134	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	327650.770126919	327683.3184739	1005	33553	2015/7/21  3:00:01.770	32.548	100.8	122.3	MinkeDS
135	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	329245.910359263	329313.095060389	1596145	1663330	2015/7/21  3:26:36.910	67.185	101.6	124.2	MinkeDS
136	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	328489.910359263	328529.582495394	840145	879817	2015/7/21  3:14:00.910	39.672	109.7	122.3	MinkeDS
137	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	328764.251735926	328821.487697032	1114487	1171723	2015/7/21  3:18:34.252	57.236	105.4	122.3	MinkeDS
138	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	328389.156972364	328437.795256909	739392	788030	2015/7/21  3:12:19.157	48.638	103.5	122.7	MinkeDS
139	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	328307.195649949	328370.818456499	657431	721053	2015/7/21  3:10:57.196	63.623	101.2	123.1	MinkeDS
140	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	329354.278831116	329469.610520983	1704514	1819846	2015/7/21  3:28:24.279	115.332	106.1	132.6	MinkeDS
141	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	330694.495453429	330849.659850563	3044730	3199895	2015/7/21  3:50:44.495	155.164	103.0	122.7	MinkeDS
142	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	331061.04187001	331110.41709826	3411277	3460652	2015/7/21  3:56:51.042	49.375	101.1	121.6	MinkeDS
143	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	328863.654059365	328907.747857728	1213889	1257983	2015/7/21  3:20:13.654	44.094	99.7	122.7	MinkeDS
144	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	330114.086373593	330178.937419652	2464321	2529172	2015/7/21  3:41:04.086	64.851	114.9	141.4	MinkeDS
145	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	327809.71790174	327864.251735926	159953	214487	2015/7/21  3:02:39.718	54.534	104.7	121.2	MinkeDS
146	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	330227.36780348	330333.978992835	2577603	2684214	2015/7/21  3:42:57.368	106.611	111.5	137.7	MinkeDS
147	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	327953.336847492	328091.797187308	303572	442032	2015/7/21  3:05:03.337	138.46	105.8	123.5	MinkeDS
148	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	329150.315578301	329205.340708291	1500551	1555576	2015/7/21  3:25:00.316	55.025	105.1	121.5	MinkeDS
149	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	330443.981923234	330511.16662436	2794217	2861402	2015/7/21  3:46:34.982	67.185	110.4	134.3	MinkeDS
150	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	329970.061208802	330037.038009212	2320296	2387273	2015/7/21  3:38:40.061	66.977	112.3	144.1	MinkeDS
151	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	328167.985784033	328226.204336745	518221	576439	2015/7/21  3:08:38.986	58.219	103.5	123.1	MinkeDS
152	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	328599.507070624	328650.601834186	949742	1000837	2015/7/21  3:15:49.507	51.095	110.6	133.6	MinkeDS
153	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	329101.51672262	329145.978992835	1451752	1496214	2015/7/21  3:24:11.517	44.462	107.0	122.3	MinkeDS
154	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	329681.103781986	329896.083443193	2031339	2246318	2015/7/21  3:33:51.104	214.98	94.4	133.8	MinkeDS
155	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	331112.665676561	331183.412272262	3462901	3533647	2015/7/21  3:57:42.666	70.747	104.9	122.7	MinkeDS
156	Spectrogram 1	1	20150721_030000.wav	20150721_030000.wav	330896.911324463	331006.224640737	3247146	3356460	2015/7/21  3:54:07.911	109.313	99.6	123.1	MinkeDS
