Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Possible	From	Tags
22	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4464.613993574	4465.993993574	864035	865415	2014/2/23  20:14:24.614	1.38	92.0	114.2	1.1	92.8	112.3	fm		Unidentified.calls
23	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4468.386996646	4469.674996646	867808	869096	2014/2/23  20:14:27.387	1.288	12.6	89.3	0.8	15.6	74.2	fm		Unidentified.calls
24	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4473.413000364	4478.290000364	872834	877711	2014/2/23  20:14:32.413	4.877	21.7	28.1	4.3	22.5	27.3	tonal		Unidentified.calls
25	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4530.835994069	4539.577994069	930257	938999	2014/2/23  20:15:30.836	8.742	18.7	23.2	6.5	19.5	22.5	tonal		Unidentified.calls
26	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4600.277993191	4601.381993191	999699	1000803	2014/2/23  20:16:39.278	1.104	12.2	27.2	0.9	12.7	25.4	fm		Unidentified.calls
27	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	4789.314998422	4790.786998422	1188736	1190208	2014/2/23  20:19:48.315	1.472	55.8	98.4	1.1	57.6	92.8	fm		Unidentified.calls
28	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	5118.559993912	5119.664993912	1517981	1519086	2014/2/23  20:25:17.560	1.105	29.0	66.8	0.8	31.2	62.5	fm		Unidentified.calls
29	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	5127.670998607	5128.590998607	1527092	1528012	2014/2/23  20:25:27.671	0.92	86.3	119.4	0.6	89.8	117.2	fm		Unidentified.calls
30	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	5216.621994708	5217.817994708	1616043	1617239	2014/2/23  20:26:56.622	1.196	15.6	35.0	0.8	15.6	32.2	fm		Unidentified.calls
31	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	5236.590997238	5237.510997238	1636012	1636932	2014/2/23  20:27:16.591	0.92	37.9	72.0	0.8	39.1	68.4	fm		Unidentified.calls
32	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	5357.473996762	5358.393996762	1756895	1757815	2014/2/23  20:29:16.474	0.92	32.7	69.2	0.8	36.1	67.4	fm		Unidentified.calls
33	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	6123.596998785	6124.516998785	2523018	2523938	2014/2/23  20:42:03.597	0.92	30.7	50.9	0.8	33.2	48.8	fm		Unidentified.calls
34	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	6625.314997617	6626.326997617	3024736	3025748	2014/2/23  20:50:24.315	1.012	48.0	85.4	0.8	52.7	80.1	fm		Unidentified.calls
35	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	6644.087999795	6645.467999795	3043509	3044889	2014/2/23  20:50:43.088	1.38	72.3	99.2	1.1	74.2	97.7	fm		Unidentified.calls
36	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	6739.296998564	6740.400998564	3138718	3139822	2014/2/23  20:52:18.297	1.104	50.1	67.1	0.8	51.8	65.4	fm		Unidentified.calls
37	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	6747.118993957	6748.774993957	3146540	3148196	2014/2/23  20:52:26.119	1.656	51.5	69.2	1.2	52.7	65.4	fm		Unidentified.calls
38	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	6794.878994409	6795.706994409	3194300	3195128	2014/2/23  20:53:14.879	0.828	63.1	99.5	0.6	63.5	95.7	fm		Unidentified.calls
39	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	6798.098993037	6799.111993037	3197520	3198533	2014/2/23  20:53:17.099	1.013	57.6	101.9	0.8	59.6	97.7	fm		Unidentified.calls
40	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	7075.351995338	7077.283995338	3474773	3476705	2014/2/23  20:57:54.352	1.932	39.0	57.6	1.8	39.1	55.7	fm		Unidentified.calls
41	Spectrogram 1	1	201_2014-02-23_20-00-00.wav	201_2014-02-23_20-00-00.wav	7078.664992858	7080.044992858	3478086	3479466	2014/2/23  20:57:58.665	1.38	33.4	95.7	0.9	36.1	88.9	fm		Unidentified.calls
42	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	10831.4059961	10832.8789961	29796	31269	2014/2/27  11:00:29.406	1.473	65.9	92.8	1.4	66.4	91.8	fm		Unidentified.calls
43	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	10883.836993144	10884.756993144	82227	83147	2014/2/27  11:01:22.837	0.92	37.2	84.2	0.8	40.0	79.1	fm		Unidentified.calls
44	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	10883.928996266	10890.001996266	82319	88392	2014/2/27  11:01:22.929	6.073	16.5	35.8	5.2	17.6	34.2	fm		Unidentified.calls
45	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	10913.007997662	10914.755997662	111398	113146	2014/2/27  11:01:51.008	1.748	57.6	86.8	1.4	57.6	83.0	fm		Unidentified.calls
46	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	10922.105996997	10923.761996997	120496	122152	2014/2/27  11:02:00.106	1.656	13.3	31.0	1.4	13.7	28.3	fm		Unidentified.calls
47	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	10941.154998482	10942.534998482	139545	140925	2014/2/27  11:02:19.155	1.38	38.7	64.4	1.2	39.1	60.5	fm		Unidentified.calls
48	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11104.425999836	11105.713999836	302816	304104	2014/2/27  11:05:02.426	1.288	88.9	106.1	1.1	90.8	104.5	fm		Unidentified.calls
49	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11182.460991979	11184.209991979	380851	382600	2014/2/27  11:06:20.461	1.749	27.2	75.4	1.4	29.3	72.3	fm		Unidentified.calls
50	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11264.706995279	11265.534995279	463097	463925	2014/2/27  11:07:43.707	0.828	37.2	97.8	0.6	43.0	88.9	fm		Unidentified.calls
51	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11265.902995632	11267.007995632	464293	465398	2014/2/27  11:07:44.903	1.105	50.2	75.1	1.1	51.8	71.3	fm		Unidentified.calls
52	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11381.632995547	11382.829995547	580023	581220	2014/2/27  11:09:40.633	1.197	46.7	107.6	0.9	47.9	100.6	fm		Unidentified.calls
53	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11510.062001214	11511.535001214	708452	709925	2014/2/27  11:11:48.062	1.473	76.5	112.9	0.9	81.1	110.4	fm		Unidentified.calls
54	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11540.198993251	11541.578993251	738589	739969	2014/2/27  11:12:18.199	1.38	38.1	60.3	1.1	40.0	57.6	fm		Unidentified.calls
55	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11546.271993906	11547.652993906	744662	746043	2014/2/27  11:12:24.272	1.381	46.7	105.2	1.1	49.8	96.7	fm		Unidentified.calls
56	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11547.664995805	11548.860995805	746055	747251	2014/2/27  11:12:26.665	1.196	56.7	83.6	1.1	58.6	81.1	fm		Unidentified.calls
57	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	11590.535000653	11592.192000653	788925	790582	2014/2/27  11:13:08.535	1.657	57.0	93.1	1.5	58.6	90.8	fm		Unidentified.calls
58	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	12084.156000555	12088.481000555	1282546	1286871	2014/2/27  11:21:22.156	4.325	14.5	36.9	4.0	14.6	33.2	fm		Unidentified.calls
59	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	12265.221996919	12273.135996919	1463612	1471526	2014/2/27  11:24:23.222	7.914	16.0	20.1	7.2	16.6	19.5	tonal		Unidentified.calls
60	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	12299.983999074	12301.271999074	1498374	1499662	2014/2/27  11:24:58.984	1.288	44.9	72.1	1.2	45.9	69.3	fm		Unidentified.calls
61	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	12311.026998923	12312.222998923	1509417	1510613	2014/2/27  11:25:09.027	1.196	56.1	77.4	0.9	58.6	76.2	fm		Unidentified.calls
62	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	12472.571998776	12473.951998776	1670962	1672342	2014/2/27  11:27:50.572	1.38	42.6	60.9	1.2	43.0	59.6	fm		Unidentified.calls
63	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	13159.185997338	13160.474997338	2357576	2358865	2014/2/27  11:39:17.186	1.289	33.4	56.4	1.2	34.2	52.7	fm		Unidentified.calls
64	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	13213.57199283	13215.04399283	2411962	2413434	2014/2/27  11:40:11.572	1.472	58.2	76.2	1.2	58.6	74.2	fm		Unidentified.calls
65	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	13330.786997766	13331.982997766	2529177	2530373	2014/2/27  11:42:09.787	1.196	48.2	101.1	0.9	49.8	95.7	fm		Unidentified.calls
66	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	13912.805999384	13914.001999384	3111196	3112392	2014/2/27  11:51:51.806	1.196	22.2	45.8	1.1	23.4	42.0	fm		Unidentified.calls
67	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	13954.768998489	13955.964998489	3153159	3154355	2014/2/27  11:52:33.769	1.196	65.6	83.9	0.9	67.4	80.1	fm		Unidentified.calls
68	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	14007.037996814	14010.349996814	3205428	3208740	2014/2/27  11:53:25.038	3.312	49.6	75.9	2.9	50.8	73.2	fm		Unidentified.calls
69	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	14038.658998103	14039.670998102	3237049	3238061	2014/2/27  11:53:57.659	1.012	49.9	74.5	0.6	55.7	70.3	fm		Unidentified.calls
70	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	14040.958995686	14042.062995686	3239349	3240453	2014/2/27  11:53:59.959	1.104	49.6	67.7	0.9	51.8	64.5	fm		Unidentified.calls
71	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	14099.380998254	14100.669998254	3297771	3299060	2014/2/27  11:54:57.381	1.289	38.1	81.0	1.1	42.0	71.3	fm		Unidentified.calls
72	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	14099.669992865	14100.681992865	3298060	3299072	2014/2/27  11:54:58.670	1.012	30.4	77.7	0.9	33.2	68.4	fm		Unidentified.calls
73	Spectrogram 1	1	201_2014-02-27_11-00-00.wav	201_2014-02-27_11-00-00.wav	14110.067995206	14111.816995206	3308458	3310207	2014/2/27  11:55:08.068	1.749	45.8	79.8	1.4	48.8	76.2	fm		Unidentified.calls
74	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	15013.52600129	15014.63000129	611379	612483	2014/3/1  12:10:11.526	1.104	35.8	54.2	0.8	37.1	52.7	fm		Unidentified.calls
75	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	15037.543996141	15038.83199614	635397	636685	2014/3/1  12:10:35.544	1.288	36.4	56.3	1.1	38.1	53.7	fm		Unidentified.calls
76	Spectrogram 1	1	201_2014-03-01_12-00-00.wav	201_2014-03-01_12-00-00.wav	15058.801002145	15059.997002145	656654	657850	2014/3/1  12:10:56.801	1.196	37.7	52.7	0.8	39.1	50.8	fm		Unidentified.calls
77	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18034.443996712	18035.732996712	31760	33049	2014/3/3  3:00:31.444	1.289	44.0	107.9	0.9	46.9	102.5	fm		Unidentified.calls
78	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18236.364999652	18245.382999652	233681	242699	2014/3/3  3:03:53.365	9.018	8.3	34.0	8.2	9.8	31.2	fm		Unidentified.calls
79	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18299.032000318	18301.977000318	296348	299293	2014/3/3  3:04:56.032	2.945	48.2	81.6	2.6	48.8	78.1	fm		Unidentified.calls
80	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18304.185995698	18306.853995698	301502	304170	2014/3/3  3:05:01.186	2.668	43.1	74.8	2.2	44.9	72.3	fm		Unidentified.calls
81	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18583.923001826	18585.027001825	581239	582343	2014/3/3  3:09:41.923	1.104	66.2	94.0	0.9	67.4	90.8	fm		Unidentified.calls
82	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18640.712997555	18641.632997555	638029	638949	2014/3/3  3:10:38.713	0.92	48.2	73.6	0.8	50.8	72.3	fm		Unidentified.calls
83	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18642.724996298	18644.197996298	640041	641514	2014/3/3  3:10:40.725	1.473	51.7	77.4	1.1	53.7	75.2	fm		Unidentified.calls
84	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18683.088004082	18684.653004082	680404	681969	2014/3/3  3:11:20.088	1.565	44.0	102.5	0.9	48.8	96.7	fm		Unidentified.calls
85	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18825.320998445	18826.240998445	822637	823557	2014/3/3  3:13:42.321	0.92	53.2	68.9	0.6	54.7	66.4	fm		Unidentified.calls
86	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18839.861002057	18841.241002057	837177	838557	2014/3/3  3:13:57.861	1.38	49.1	70.6	0.9	50.8	67.4	fm		Unidentified.calls
87	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	18897.340000286	18898.260000286	894656	895576	2014/3/3  3:14:54.340	0.92	60.3	78.9	0.8	61.5	76.2	fm		Unidentified.calls
88	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	19649.659003555	19651.868003555	1646975	1649184	2014/3/3  3:27:26.659	2.209	32.2	55.0	1.7	33.2	51.8	fm		Unidentified.calls
89	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	19664.291000232	19665.671000232	1661607	1662987	2014/3/3  3:27:41.291	1.38	37.8	49.3	0.5	40.0	47.9	fm		Unidentified.calls
90	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	19756.463000789	19757.107000789	1753779	1754423	2014/3/3  3:29:13.463	0.644	31.9	48.2	0.5	33.2	45.9	fm		Unidentified.calls
91	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	19789.591004565	19790.511004565	1786907	1787827	2014/3/3  3:29:46.591	0.92	31.0	52.3	0.6	33.2	49.8	fm		Unidentified.calls
92	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	19812.596995249	19814.344995249	1809913	1811661	2014/3/3  3:30:09.597	1.748	32.5	48.8	1.2	33.2	45.9	fm		Unidentified.calls
93	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20014.714003965	20018.486003965	2012030	2015802	2014/3/3  3:33:32.714	3.772	18.9	22.5	2.3	19.5	21.5	tonal		Unidentified.calls
94	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20046.172996476	20047.829996476	2043489	2045146	2014/3/3  3:34:03.173	1.657	22.2	51.4	1.2	25.4	48.8	fm		Unidentified.calls
95	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20057.676001876	20058.412001876	2054992	2055728	2014/3/3  3:34:14.676	0.736	38.1	89.8	0.6	41.0	84.0	fm		Unidentified.calls
96	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20093.1619993	20093.9899993	2090478	2091306	2014/3/3  3:34:50.162	0.828	36.1	83.6	0.6	39.1	77.1	fm		Unidentified.calls
97	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20097.94699648	20099.14299648	2095263	2096459	2014/3/3  3:34:55.947	1.196	38.4	64.4	0.9	41.0	60.5	fm		Unidentified.calls
98	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20919.11899583	20919.94799583	2916435	2917264	2014/3/3  3:48:36.119	0.829	19.8	50.5	0.5	28.3	48.8	fm		Unidentified.calls
99	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20920.316002011	20921.052002011	2917632	2918368	2014/3/3  3:48:37.316	0.736	18.3	50.5	0.6	20.5	46.9	fm		Unidentified.calls
100	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20921.32799612	20923.443996119	2918644	2920760	2014/3/3  3:48:38.328	2.116	60.3	81.0	1.7	61.5	79.1	fm		Unidentified.calls
101	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20921.512002363	20922.432002363	2918828	2919748	2014/3/3  3:48:38.512	0.92	19.8	50.2	0.6	21.5	44.9	fm		Unidentified.calls
102	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20923.443997517	20924.088997517	2920760	2921405	2014/3/3  3:48:40.444	0.645	19.5	50.8	0.5	21.5	46.9	fm		Unidentified.calls
103	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20932.555002212	20933.659002212	2929871	2930975	2014/3/3  3:48:49.555	1.104	46.7	68.0	0.9	47.9	66.4	fm		Unidentified.calls
104	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20996.602995187	20997.338995187	2993919	2994655	2014/3/3  3:49:53.603	0.736	25.4	46.4	0.6	27.3	43.0	fm		Unidentified.calls
105	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20998.166997969	20998.902997969	2995483	2996219	2014/3/3  3:49:55.167	0.736	30.4	52.0	0.5	34.2	46.9	fm		Unidentified.calls
106	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	20999.362998321	20999.915998321	2996679	2997232	2014/3/3  3:49:56.363	0.553	27.5	43.7	0.3	30.3	42.0	fm		Unidentified.calls
107	Spectrogram 1	1	201_2014-03-03_03-00-00.wav	201_2014-03-03_03-00-00.wav	21259.590997412	21261.247997412	3256907	3258564	2014/3/3  3:54:16.591	1.657	47.6	78.3	1.2	48.8	76.2	fm		Unidentified.calls
108	Spectrogram 1	1	201_2014-03-06_19-00-00.wav	201_2014-03-06_19-00-00.wav	25339.61899863	25340.81499863	135883	137079	2014/3/6  19:02:15.619	1.196	17.7	64.7	1.1	19.5	55.7	fm		Unidentified.calls
109	Spectrogram 1	1	201_2014-03-06_19-00-00.wav	201_2014-03-06_19-00-00.wav	25340.183006837	25341.472006836	136447	137736	2014/3/6  19:02:16.183	1.289	23.0	48.2	0.9	24.4	45.9	fm		Unidentified.calls
110	Spectrogram 1	1	201_2014-03-06_19-00-00.wav	201_2014-03-06_19-00-00.wav	25357.379000871	25358.576000871	153643	154840	2014/3/6  19:02:33.379	1.197	24.8	40.2	1.1	25.4	38.1	fm		Unidentified.calls
111	Spectrogram 1	1	201_2014-03-06_19-00-00.wav	201_2014-03-06_19-00-00.wav	25379.68600118	25380.79000118	175950	177054	2014/3/6  19:02:55.686	1.104	17.1	40.2	1.1	17.6	38.1	fm		Unidentified.calls
112	Spectrogram 1	1	201_2014-03-06_19-00-00.wav	201_2014-03-06_19-00-00.wav	25699.655005945	25700.851005945	495919	497115	2014/3/6  19:08:15.655	1.196	69.1	104.0	1.1	70.3	102.5	fm		Unidentified.calls
113	Spectrogram 1	1	201_2014-03-06_19-00-00.wav	201_2014-03-06_19-00-00.wav	25705.452007292	25706.741007292	501716	503005	2014/3/6  19:08:21.452	1.289	62.6	103.4	1.1	64.5	98.6	fm		Unidentified.calls
