Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	From	Tags
47	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91022.421271735	91029.065000304	1025786	1032430	2017/1/26  1:17:05.421	6.644	24.1	27.2	4.9	24.4	26.4		Bm.Ant-A
48	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91035.394851934	91048.263806486	1038760	1051629	2017/1/26  1:17:18.395	12.869	23.7	27.6	10.9	24.4	26.4		Bm.Ant-A
49	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91091.533820907	91098.909929004	1094899	1102275	2017/1/26  1:18:14.534	7.376	23.3	27.8	6.5	24.4	27.3		Bm.Ant-A
50	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91086.040974452	91090.539877263	1089406	1093905	2017/1/26  1:18:09.041	4.499	23.7	27.4	3.5	24.4	27.3		Bm.Ant-A
51	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91382.368739237	91394.599252124	1385734	1397964	2017/1/26  1:23:05.369	12.231	23.3	27.6	10.2	23.4	27.3		Bm.Ant-A
52	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91445.988661588	91461.31631884	1449354	1464681	2017/1/26  1:24:09.989	15.328	23.5	27.8	11.9	24.4	26.4		Bm.Ant-A
53	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91520.687995078	91527.959477529	1524053	1531324	2017/1/26  1:25:24.688	7.271	23.5	27.6	6.0	24.4	27.3		Bm.Ant-A
54	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	91868.730132378	91875.530799418	1872095	1878896	2017/1/26  1:31:12.730	6.801	24.3	27.2	5.4	24.4	26.4		Bm.Ant-A
55	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	92402.536715618	92408.866567248	2405902	2412232	2017/1/26  1:40:05.537	6.33	23.3	27.4	4.8	23.4	27.3		Bm.Ant-A
56	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	92578.801781964	92585.968638767	2582167	2589334	2017/1/26  1:43:02.802	7.167	23.5	27.4	5.7	24.4	27.3		Bm.Ant-A
57	Spectrogram 1	1	20170126_010000.wav	20170126_010000.wav	93364.984593312	93371.732947529	3368350	3375098	2017/1/26  1:56:08.985	6.748	23.9	27.6	5.7	24.4	27.3		Bm.Ant-A
58	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	93803.774506555	93807.802593956	207283	211311	2017/1/27  19:03:27.775	4.028	23.9	28.1	2.9	24.4	27.3		Bm.Ant-A
59	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	93828.675410486	93838.824098223	232183	242332	2017/1/27  19:03:52.675	10.149	23.3	27.8	7.7	24.4	26.4		Bm.Ant-A
60	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	93887.043636305	93893.739677698	290552	297248	2017/1/27  19:04:50.044	6.696	23.5	27.4	5.7	24.4	27.3		Bm.Ant-A
61	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	94191.320780405	94197.232129448	594829	600740	2017/1/27  19:09:54.321	5.911	24.1	27.4	5.2	24.4	27.3		Bm.Ant-A
62	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	94390.497956926	94397.66481373	794006	801173	2017/1/27  19:13:14.498	7.167	24.1	27.4	5.4	24.4	27.3		Bm.Ant-A
63	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	94680.454190135	94688.039549525	1083962	1091548	2017/1/27  19:18:03.454	7.585	24.1	27.6	6.3	24.4	27.3		Bm.Ant-A
64	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	94766.139326352	94773.358495979	1169647	1176866	2017/1/27  19:19:29.139	7.219	23.5	27.6	6.3	24.4	27.3		Bm.Ant-A
65	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	94781.048481017	94787.74452241	1184556	1191253	2017/1/27  19:19:44.048	6.696	23.0	27.4	5.7	23.4	27.3		Bm.Ant-A
66	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	94916.321779216	94924.482579664	1319830	1327991	2017/1/27  19:21:59.322	8.161	23.7	27.2	6.5	24.4	26.4		Bm.Ant-A
67	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95012.990974102	95019.006948791	1416499	1422515	2017/1/27  19:23:36.991	6.016	23.1	27.6	5.2	23.4	27.3		Bm.Ant-A
68	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95058.857616141	95070.680314226	1462366	1474188	2017/1/27  19:24:22.858	11.823	23.5	27.4	10.0	24.4	26.4		Bm.Ant-A
69	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95261.297201263	95269.405688887	1664805	1672914	2017/1/27  19:27:44.297	8.108	23.3	27.4	7.5	23.4	27.3		Bm.Ant-A
70	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95276.206355927	95283.739402495	1679714	1687247	2017/1/27  19:27:59.206	7.533	23.1	27.4	6.6	23.4	27.3		Bm.Ant-A
71	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95635.118364564	95640.820462313	2038626	2044328	2017/1/27  19:33:58.118	5.702	23.9	27.6	4.8	24.4	26.4		Bm.Ant-A
72	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95736.131666175	95741.93838957	2139640	2145446	2017/1/27  19:35:39.132	5.807	23.1	28.1	4.3	23.4	26.4	Bm.Ant-B	Bm.Ant-A
73	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95780.667477817	95786.055698625	2184175	2189564	2017/1/27  19:36:24.667	5.388	23.3	26.7	4.3	23.4	26.4	Bm.Ant-B	Bm.Ant-A
74	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95796.256699185	95805.934571511	2199765	2209443	2017/1/27  19:36:39.257	9.678	23.7	28.1	8.8	24.4	27.3	Bm.Ant-B	Bm.Ant-A
75	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	95865.379029676	95872.38894801	2268887	2275897	2017/1/27  19:37:48.379	7.01	23.9	28.3	5.4	24.4	27.3		Bm.Ant-A
76	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	96217.521597034	96225.211582072	2621030	2628720	2017/1/27  19:43:41.522	7.69	24.1	28.0	6.9	24.4	26.4		Bm.Ant-A
77	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	96278.463495567	96285.31647543	2681971	2688824	2017/1/27  19:44:41.463	6.853	23.7	27.6	5.4	24.4	27.3		Bm.Ant-A
78	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	96512.624502804	96515.50170809	2916133	2919010	2017/1/27  19:48:36.625	2.877	23.3	28.5	2.2	24.4	27.3		Bm.Ant-A
79	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	96534.125073215	96539.199417083	2937633	2942707	2017/1/27  19:48:57.125	5.074	23.5	27.4	4.0	24.4	27.3		Bm.Ant-A
80	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	96690.302743157	96701.026871951	3093811	3104535	2017/1/27  19:51:33.303	10.724	23.3	28.1	8.6	23.4	27.3		Bm.Ant-A
81	Spectrogram 1	1	20170127_190000.wav	20170127_190000.wav	96924.622213289	96930.690500802	3328130	3334199	2017/1/27  19:55:28.622	6.068	24.1	27.8	4.0	25.4	26.4		Bm.Ant-A
82	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	97263.626526643	97271.473450151	67278	75124	2017/1/29  14:01:07.627	7.847	23.9	27.6	6.3	24.4	27.3		Bm.Ant-A
83	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	97343.232131376	97356.048773105	146883	159700	2017/1/29  14:02:26.232	12.817	23.5	28.0	10.3	24.4	27.3		Bm.Ant-A
84	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	97600.618899231	97608.779699679	404270	412431	2017/1/29  14:06:44.619	8.161	23.7	27.6	6.5	24.4	27.3		Bm.Ant-A
85	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	97703.283201378	97711.234750532	506934	514886	2017/1/29  14:08:26.283	7.952	23.9	27.4	6.9	24.4	27.3		Bm.Ant-A
86	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	97732.107567063	97739.745239277	535759	543396	2017/1/29  14:08:55.108	7.638	23.5	27.6	6.2	24.4	27.3		Bm.Ant-A
87	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	97779.582458498	97788.475638474	583233	592127	2017/1/29  14:09:43.582	8.893	16.3	19.6	7.2	16.6	19.5		Bm.Ant-A
88	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	97892.490512344	97901.017502556	696142	704669	2017/1/29  14:11:36.491	8.527	23.5	27.8	6.2	24.4	26.4		Bm.Ant-A
89	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	97919.900234505	97927.224029778	723551	730875	2017/1/29  14:12:03.900	7.324	15.7	20.0	6.5	16.6	19.5		Bm.Ant-A
90	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	97972.461173877	97985.068564313	776112	788720	2017/1/29  14:12:56.461	12.607	23.3	27.2	9.9	24.4	26.4		Bm.Ant-A
91	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	98040.956766771	98048.071310751	844608	851722	2017/1/29  14:14:04.957	7.115	23.9	27.6	6.3	24.4	27.3		Bm.Ant-A
92	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	98146.424077669	98153.957124236	950075	957608	2017/1/29  14:15:50.424	7.533	23.9	27.2	5.9	24.4	26.4		Bm.Ant-A
93	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	98197.206999005	98205.681676394	1000858	1009333	2017/1/29  14:16:40.207	8.475	24.1	27.8	7.4	24.4	27.3		Bm.Ant-A
94	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	98388.004452284	98399.460960605	1191655	1203112	2017/1/29  14:19:51.004	11.457	23.5	27.8	8.8	24.4	26.4		Bm.Ant-A
95	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	98536.157392821	98543.847377858	1339808	1347498	2017/1/29  14:22:19.157	7.69	23.9	28.0	6.0	24.4	26.4		Bm.Ant-A
96	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	98816.981438516	98823.520541439	1620632	1627172	2017/1/29  14:27:00.981	6.539	23.9	28.1	4.8	24.4	26.4		Bm.Ant-A
97	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	98825.194551787	98829.379577658	1628846	1633031	2017/1/29  14:27:08.195	4.185	23.9	27.4	3.1	24.4	26.4		Bm.Ant-A
98	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	98874.093593523	98882.359019618	1677745	1686010	2017/1/29  14:27:57.094	8.265	23.1	27.2	5.1	23.4	26.4		Bm.Ant-A
99	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	98937.587912983	98944.127015906	1741239	1747778	2017/1/29  14:29:01.588	6.539	22.8	28.0	4.5	24.4	26.4		Bm.Ant-A
100	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	99144.780147409	99151.057686215	1948431	1954709	2017/1/29  14:32:28.780	6.278	23.9	27.8	5.2	24.4	27.3		Bm.Ant-A
101	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	99206.736129238	99212.64747828	2010387	2016298	2017/1/29  14:33:30.736	5.911	23.1	27.6	4.6	24.4	26.4		Bm.Ant-A
102	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	99290.829269266	99299.670136418	2094480	2103321	2017/1/29  14:34:54.829	8.841	23.9	27.8	7.4	24.4	27.3		Bm.Ant-A
103	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	99308.301752276	99320.124450361	2111953	2123775	2017/1/29  14:35:11.302	11.823	23.1	27.8	9.4	23.4	26.4		Bm.Ant-A
104	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	99654.847286801	99662.641897485	2458498	2466293	2017/1/29  14:40:58.847	7.795	23.5	28.0	6.0	24.4	27.3		Bm.Ant-A
105	Spectrogram 1	1	20170129_140000.wav	20170129_140000.wav	100590.459413875	100597.835521972	3394110	3401487	2017/1/29  14:56:34.459	7.376	24.1	27.2	6.2	24.4	26.4		Bm.Ant-A
106	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	100869.733713168	100875.645062211	73528	79439	2017/1/31  8:01:13.734	5.911	23.7	27.6	5.1	24.4	27.3		Bm.Ant-A
107	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	100911.217782112	100917.547633741	115012	121342	2017/1/31  8:01:55.218	6.33	24.1	27.8	4.3	24.4	26.4		Bm.Ant-A
108	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	101176.619099729	101182.844325712	380413	386638	2017/1/31  8:06:20.619	6.225	24.1	27.4	4.5	24.4	27.3		Bm.Ant-A
109	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	101269.155554113	101279.879682907	472950	483674	2017/1/31  8:07:52.156	10.724	23.9	27.6	8.6	24.4	27.3		Bm.Ant-A
110	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	101486.860468746	101495.387458957	690654	699181	2017/1/31  8:11:30.860	8.527	24.1	27.6	7.2	24.4	27.3		Bm.Ant-A
111	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	102174.041438635	102181.940674966	1377835	1385735	2017/1/31  8:22:57.041	7.899	23.3	27.2	6.6	23.4	26.4		Bm.Ant-A
112	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	102821.602024621	102827.93187625	2025396	2031726	2017/1/31  8:33:45.602	6.33	23.9	27.6	4.8	24.4	26.4		Bm.Ant-A
113	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	102838.394440927	102844.77660538	2042188	2048571	2017/1/31  8:34:02.394	6.382	23.5	28.1	4.9	24.4	27.3		Bm.Ant-A
114	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	102900.831088358	102906.742437401	2104625	2110536	2017/1/31  8:35:04.831	5.911	23.7	27.8	4.6	24.4	26.4		Bm.Ant-A
115	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	103598.055158962	103605.535892706	2801849	2809330	2017/1/31  8:46:41.055	7.481	23.7	28.0	5.5	24.4	27.3		Bm.Ant-A
116	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	104209.825228353	104215.788890219	3413619	3419583	2017/1/31  8:56:53.825	5.964	23.7	27.2	4.2	24.4	26.4		Bm.Ant-A
117	Spectrogram 1	1	20170131_080000.wav	20170131_080000.wav	104270.306669809	104277.839716376	3474101	3481634	2017/1/31  8:57:54.307	7.533	24.1	27.0	5.9	24.4	26.4		Bm.Ant-A
118	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	104567.827106399	104577.923481312	171764	181860	2017/2/2  3:02:51.827	10.096	23.7	27.8	6.8	24.4	27.3		Bm.Ant-A
119	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	104694.156010446	104700.433549252	298093	304371	2017/2/2  3:04:58.156	6.278	24.1	27.4	4.8	24.4	26.4		Bm.Ant-A
120	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	104713.459442275	104722.457247897	317396	326394	2017/2/2  3:05:17.459	8.998	23.3	27.6	6.9	23.4	26.4		Bm.Ant-A
121	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	104748.779088551	104757.776894173	352716	361714	2017/2/2  3:05:52.779	8.998	23.9	27.4	6.3	24.4	27.3		Bm.Ant-A
122	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	104825.978296545	104833.720594406	429915	437658	2017/2/2  3:07:09.978	7.742	24.3	27.6	5.7	24.4	27.3		Bm.Ant-A
123	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	104863.277339618	104873.530653001	467214	477468	2017/2/2  3:07:47.277	10.253	23.7	27.4	8.2	24.4	27.3		Bm.Ant-A
124	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	105116.656839455	105122.934378261	720594	726871	2017/2/2  3:12:00.657	6.278	24.1	27.0	4.3	24.4	26.4		Bm.Ant-A
125	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	105302.347940419	105312.810505096	906285	916748	2017/2/2  3:15:06.348	10.463	23.9	27.6	9.1	24.4	27.3		Bm.Ant-A
126	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	105325.365582708	105330.282988106	929303	934220	2017/2/2  3:15:29.366	4.917	23.7	27.4	3.7	24.4	27.3		Bm.Ant-A
127	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	105337.659096203	105341.844122074	941596	945781	2017/2/2  3:15:41.659	4.185	23.5	28.0	3.4	24.4	27.3		Bm.Ant-A
128	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	105362.159549723	105372.465175929	966097	976402	2017/2/2  3:16:06.160	10.306	23.3	27.4	7.5	23.4	26.4		Bm.Ant-A
129	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	105391.036228231	105399.040090208	994973	1002977	2017/2/2  3:16:34.036	8.004	24.3	28.0	6.8	24.4	27.3		Bm.Ant-A
130	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	105425.057162373	105432.74714741	1028994	1036684	2017/2/2  3:17:08.057	7.69	23.3	27.0	6.6	23.4	26.4		Bm.Ant-A
131	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	105455.869415346	105464.239467087	1059806	1068176	2017/2/2  3:17:39.869	8.37	23.7	27.8	7.4	24.4	27.3		Bm.Ant-A
132	Spectrogram 1	1	20170202_030000.wav	20170202_030000.wav	105491.511937196	105500.352804348	1095449	1104290	2017/2/2  3:18:15.512	8.841	23.1	27.4	7.1	23.4	27.3		Bm.Ant-A
