Selection	View	Channel	Begin File	End File	Begin Time (s)	End Time (s)	Beg File Samp (samples)	End File Samp (samples)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Notes	Tags
12	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32462.41033	32467.85499	15603	16964	2013/1/17  1:01:02.410	5.445	24.4	28.1	4.2	24.9	27.8		Bm.Ant-A.
13	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32426.00585	32430.91672	6501	7729	2013/1/17  1:00:26.006	4.911	24.4	28.6	4.4	24.4	27.8		Bm.Ant-A.
14	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32501.75893	32507.9509	25440	26988	2013/1/17  1:01:41.759	6.192	24.9	28.1	4.7	25.4	27.3		Bm.Ant-A.
15	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32512.54149	32518.51994	28135	29630	2013/1/17  1:01:52.541	5.978	24.9	28.6	4.2	25.4	27.8		Bm.Ant-A.
16	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32528.87547	32533.67958	32219	33420	2013/1/17  1:02:08.875	4.804	24.4	28.6	3.9	25.4	27.8		Bm.Ant-A.
17	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32546.49054	32551.29465	36623	37824	2013/1/17  1:02:26.491	4.804	25.4	28.1	3.1	25.9	27.8		Bm.Ant-A.
18	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32585.30935	32591.60807	46327	47902	2013/1/17  1:03:05.309	6.299	24.4	28.6	4.8	25.4	27.3		Bm.Ant-A.
19	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32570.89702	32576.0214	42724	44005	2013/1/17  1:02:50.897	5.124	23.8	28.1	3.7	25.9	27.8		Bm.Ant-A.
20	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32579.11738	32584.6688	44779	46167	2013/1/17  1:02:59.117	5.551	24.4	28.1	4.5	25.9	27.8		Bm.Ant-A.
21	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32614.54249	32621.05473	53636	55264	2013/1/17  1:03:34.542	6.512	24.4	28.6	4.7	25.4	27.8		Bm.Ant-A.
22	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32655.64432	32662.37008	63911	65593	2013/1/17  1:04:15.644	6.726	24.4	28.6	5.1	25.9	27.8		Bm.Ant-A.
23	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32627.24669	32633.75893	56812	58440	2013/1/17  1:03:47.247	6.512	25.4	28.6	4.2	25.9	27.8		Bm.Ant-A.
24	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32673.92249	32678.94012	68481	69735	2013/1/17  1:04:33.922	5.018	24.9	28.6	4.2	25.4	27.8		Bm.Ant-A.
25	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32667.41026	32673.06843	66853	68267	2013/1/17  1:04:27.410	5.658	24.7	28.6	4.8	25.4	28.3		Bm.Ant-A.
26	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32694.42003	32699.75793	73605	74939	2013/1/17  1:04:54.420	5.338	24.9	28.1	4.1	25.4	27.8		Bm.Ant-A.
27	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32441.95153	32447.18268	10488	11796	2013/1/17  1:00:41.952	5.231	24.5	28.1	3.7	25.4	27.3		Bm.Ant-A.
28	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32485.5088	32491.27373	21377	22818	2013/1/17  1:01:25.509	5.765	24.5	28.6	4.8	25.4	27.8		Bm.Ant-A.
29	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32560.30706	32565.64496	40077	41411	2013/1/17  1:02:40.307	5.338	24.5	29.1	4.2	25.9	27.8		Bm.Ant-A.
30	Spectrogram 1	1	20130117_010000_AWI251-01_AU0231_250Hz.wav	20130117_010000_AWI251-01_AU0231_250Hz.wav	32682.89259	32689.40483	70723	72351	2013/1/17  1:04:42.893	6.512	24.7	28.7	5.0	25.4	27.8		Bm.Ant-A.
31	Spectrogram 1	1	20130117_020000_AWI251-01_AU0231_250Hz.wav	20130117_020000_AWI251-01_AU0231_250Hz.wav	32850.12983	32855.78801	37532	38947	2013/1/17  2:02:30.130	5.658	24.5	29.6	4.2	25.9	28.8		Bm.Ant-A.
32	Spectrogram 1	1	20130117_020000_AWI251-01_AU0231_250Hz.wav	20130117_020000_AWI251-01_AU0231_250Hz.wav	32706.814	32714.07354	1704	3518	2013/1/17  2:00:06.814	7.26	25.3	28.4	6.2	25.9	28.3		Bm.Ant-A.
33	Spectrogram 1	1	20130117_020000_AWI251-01_AU0231_250Hz.wav	20130117_020000_AWI251-01_AU0231_250Hz.wav	32740.8698	32747.80907	10217	11952	2013/1/17  2:00:40.870	6.939	25.6	28.4	5.5	25.9	28.3		Bm.Ant-A.
34	Spectrogram 1	1	20130117_020000_AWI251-01_AU0231_250Hz.wav	20130117_020000_AWI251-01_AU0231_250Hz.wav	32785.58085	32794.01474	21395	23504	2013/1/17  2:01:25.581	8.434	25.3	28.6	6.9	25.9	27.8		Bm.Ant-A.
35	Spectrogram 1	1	20130117_020000_AWI251-01_AU0231_250Hz.wav	20130117_020000_AWI251-01_AU0231_250Hz.wav	32800.84725	32806.39867	25212	26600	2013/1/17  2:01:40.847	5.551	25.6	28.1	3.6	25.9	27.8		Bm.Ant-A.
36	Spectrogram 1	1	20130117_020000_AWI251-01_AU0231_250Hz.wav	20130117_020000_AWI251-01_AU0231_250Hz.wav	32837.85317	32847.56815	34463	36892	2013/1/17  2:02:17.853	9.715	25.1	28.4	7.5	25.9	28.3		Bm.Ant-A.
37	Spectrogram 1	1	20130117_020000_AWI251-01_AU0231_250Hz.wav	20130117_020000_AWI251-01_AU0231_250Hz.wav	32877.67391	32883.33209	44418	45833	2013/1/17  2:02:57.674	5.658	24.2	28.6	4.4	25.9	28.3		Bm.Ant-A.
38	Spectrogram 1	1	20130117_070000_AWI251-01_AU0231_250Hz.wav	20130117_070000_AWI251-01_AU0231_250Hz.wav	34242.06265	34248.25462	10516	12064	2013/1/17  7:00:42.063	6.192	23.1	28.5	4.8	24.4	27.3		Bm.Ant-A.
39	Spectrogram 1	1	20130117_070000_AWI251-01_AU0231_250Hz.wav	20130117_070000_AWI251-01_AU0231_250Hz.wav	34414.65125	34421.27025	53663	55318	2013/1/17  7:03:34.651	6.619	23.1	29.1	5.9	23.9	27.8		Bm.Ant-A.
40	Spectrogram 1	1	20130117_070000_AWI251-01_AU0231_250Hz.wav	20130117_070000_AWI251-01_AU0231_250Hz.wav	34486.14001	34491.58467	71535	72896	2013/1/17  7:04:46.140	5.445	24.0	28.0	4.2	24.9	27.3		Bm.Ant-A.
41	Spectrogram 1	1	20130117_080000_AWI251-01_AU0231_250Hz.wav	20130117_080000_AWI251-01_AU0231_250Hz.wav	34519.54722	34526.27297	4887	6568	2013/1/17  8:00:19.547	6.726	23.6	28.0	5.1	24.9	26.9		Bm.Ant-A.
42	Spectrogram 1	1	20130117_080000_AWI251-01_AU0231_250Hz.wav	20130117_080000_AWI251-01_AU0231_250Hz.wav	34686.5844	34692.77636	46646	48194	2013/1/17  8:03:06.584	6.192	24.1	28.4	4.5	24.9	27.3		Bm.Ant-A.
43	Spectrogram 1	1	20130117_080000_AWI251-01_AU0231_250Hz.wav	20130117_080000_AWI251-01_AU0231_250Hz.wav	34756.15151	34763.62457	64038	65906	2013/1/17  8:04:16.152	7.473	23.6	28.4	5.8	24.9	27.3		Bm.Ant-A.
44	Spectrogram 1	1	20130117_100000_AWI251-01_AU0231_250Hz.wav	20130117_100000_AWI251-01_AU0231_250Hz.wav	35196.19147	35201.31585	24048	25329	2013/1/17  10:01:36.191	5.124	24.1	28.4	4.2	24.9	27.8		Bm.Ant-A.
45	Spectrogram 1	1	20130117_100000_AWI251-01_AU0231_250Hz.wav	20130117_100000_AWI251-01_AU0231_250Hz.wav	35204.19832	35209.3227	26050	27331	2013/1/17  10:01:44.198	5.124	23.6	28.5	4.2	24.4	27.8		Bm.Ant-A.
46	Spectrogram 1	1	20130117_100000_AWI251-01_AU0231_250Hz.wav	20130117_100000_AWI251-01_AU0231_250Hz.wav	35160.0005	35165.12489	15000	16281	2013/1/17  10:01:00.001	5.124	24.7	28.4	3.7	25.9	28.3		Bm.Ant-A.
47	Spectrogram 1	1	20130117_100000_AWI251-01_AU0231_250Hz.wav	20130117_100000_AWI251-01_AU0231_250Hz.wav	35135.44616	35140.35703	8862	10089	2013/1/17  10:00:35.446	4.911	24.7	29.1	4.2	25.9	27.8		Bm.Ant-A.
48	Spectrogram 1	1	20130117_100000_AWI251-01_AU0231_250Hz.wav	20130117_100000_AWI251-01_AU0231_250Hz.wav	35101.24049	35107.85949	310	1965	2013/1/17  10:00:01.240	6.619	25.2	29.0	5.6	25.9	28.3		Bm.Ant-A.
49	Spectrogram 1	1	20130117_100000_AWI251-01_AU0231_250Hz.wav	20130117_100000_AWI251-01_AU0231_250Hz.wav	35373.65183	35381.3384	68413	70335	2013/1/17  10:04:33.652	7.687	23.6	28.4	6.6	24.4	27.3		Bm.Ant-A.
50	Spectrogram 1	1	20130117_120000_AWI251-01_AU0231_250Hz.wav	20130117_120000_AWI251-01_AU0231_250Hz.wav	35719.81639	35726.43538	4954	6609	2013/1/17  12:00:19.816	6.619	24.7	29.5	5.8	25.4	28.3		Bm.Ant-A.
51	Spectrogram 1	1	20130117_120000_AWI251-01_AU0231_250Hz.wav	20130117_120000_AWI251-01_AU0231_250Hz.wav	35824.87027	35831.27575	31218	32819	2013/1/17  12:02:04.870	6.405	24.7	29.5	5.5	25.4	28.3		Bm.Ant-A.
52	Spectrogram 1	1	20130117_120000_AWI251-01_AU0231_250Hz.wav	20130117_120000_AWI251-01_AU0231_250Hz.wav	35986.88982	35992.12096	71722	73030	2013/1/17  12:04:46.890	5.231	24.7	29.1	4.4	25.9	27.8		Bm.Ant-A.
53	Spectrogram 1	1	20130117_120000_AWI251-01_AU0231_250Hz.wav	20130117_120000_AWI251-01_AU0231_250Hz.wav	35955.28945	35961.90844	63822	65477	2013/1/17  12:04:15.289	6.619	24.5	29.0	5.5	25.4	27.8		Bm.Ant-A.
54	Spectrogram 1	1	20130117_120000_AWI251-01_AU0231_250Hz.wav	20130117_120000_AWI251-01_AU0231_250Hz.wav	35975.57347	35983.58032	68893	70895	2013/1/17  12:04:35.573	8.007	24.1	28.4	7.2	24.9	27.8		Bm.Ant-A.
55	Spectrogram 1	1	20130117_120000_AWI251-01_AU0231_250Hz.wav	20130117_120000_AWI251-01_AU0231_250Hz.wav	35943.11904	35951.65968	60780	62915	2013/1/17  12:04:03.119	8.541	24.1	28.4	7.5	24.9	27.8		Bm.Ant-A.
56	Spectrogram 1	1	20130117_120000_AWI251-01_AU0231_250Hz.wav	20130117_120000_AWI251-01_AU0231_250Hz.wav	35962.76156	35970.44814	65690	67612	2013/1/17  12:04:22.762	7.687	25.1	29.7	6.6	25.9	28.8		Bm.Ant-A.
57	Spectrogram 1	1	20130117_180000_AWI251-01_AU0231_250Hz.wav	20130117_180000_AWI251-01_AU0231_250Hz.wav	37623.90749	37631.38056	30977	32845	2013/1/17  18:02:03.907	7.473	23.6	28.0	5.9	23.9	27.3		Bm.Ant-A.
58	Spectrogram 1	1	20130117_180000_AWI251-01_AU0231_250Hz.wav	20130117_180000_AWI251-01_AU0231_250Hz.wav	37690.52449	37697.99755	47631	49499	2013/1/17  18:03:10.524	7.473	23.1	28.5	6.6	23.4	27.8		Bm.Ant-A.
59	Spectrogram 1	1	20130118_070000_AWI251-01_AU0231_250Hz.wav	20130118_070000_AWI251-01_AU0231_250Hz.wav	41608.12774	41616.02783	52032	54007	2013/1/18  7:03:28.128	7.9	23.0	28.0	5.8	24.9	27.3		Bm.Ant-A.
60	Spectrogram 1	1	20130118_090000_AWI251-01_AU0231_250Hz.wav	20130118_090000_AWI251-01_AU0231_250Hz.wav	42087.00778	42094.26732	21752	23567	2013/1/18  9:01:27.008	7.26	23.8	28.9	5.8	24.4	27.3		Bm.Ant-A.
61	Spectrogram 1	1	20130118_090000_AWI251-01_AU0231_250Hz.wav	20130118_090000_AWI251-01_AU0231_250Hz.wav	42154.11946	42161.69928	38530	40425	2013/1/18  9:02:34.119	7.58	23.8	28.0	5.9	24.4	27.3		Bm.Ant-A.
62	Spectrogram 1	1	20130118_090000_AWI251-01_AU0231_250Hz.wav	20130118_090000_AWI251-01_AU0231_250Hz.wav	42140.13416	42146.75316	35034	36688	2013/1/18  9:02:20.134	6.619	24.8	28.4	5.3	25.4	28.3		Bm.Ant-A.
63	Spectrogram 1	1	20130118_090000_AWI251-01_AU0231_250Hz.wav	20130118_090000_AWI251-01_AU0231_250Hz.wav	42216.89317	42222.55134	54223	55638	2013/1/18  9:03:36.893	5.658	24.3	28.4	4.4	25.4	28.3		Bm.Ant-A.
64	Spectrogram 1	1	20130118_090000_AWI251-01_AU0231_250Hz.wav	20130118_090000_AWI251-01_AU0231_250Hz.wav	42286.14001	42292.97252	71535	73243	2013/1/18  9:04:46.140	6.833	24.0	28.9	5.5	25.9	28.3		Bm.Ant-A.
65	Spectrogram 1	1	20130118_090000_AWI251-01_AU0231_250Hz.wav	20130118_090000_AWI251-01_AU0231_250Hz.wav	42267.77763	42274.39663	66944	68599	2013/1/18  9:04:27.778	6.619	24.3	28.9	5.9	24.4	28.3		Bm.Ant-A.
66	Spectrogram 1	1	20130118_090000_AWI251-01_AU0231_250Hz.wav	20130118_090000_AWI251-01_AU0231_250Hz.wav	42259.42996	42265.74468	64857	66436	2013/1/18  9:04:19.430	6.315	24.3	29.4	4.7	24.9	28.3		Bm.Ant-A.
67	Spectrogram 1	1	20130118_110000_AWI251-01_AU0231_250Hz.wav	20130118_110000_AWI251-01_AU0231_250Hz.wav	42800.15981	42806.45854	50040	51615	2013/1/18  11:03:20.160	6.299	24.8	28.4	5.3	24.9	28.3		Bm.Ant-A.
68	Spectrogram 1	1	20130118_110000_AWI251-01_AU0231_250Hz.wav	20130118_110000_AWI251-01_AU0231_250Hz.wav	42819.65743	42824.5683	54914	56142	2013/1/18  11:03:39.657	4.911	23.8	29.1	3.9	24.4	27.8		Bm.Ant-A.
69	Spectrogram 1	1	20130118_110000_AWI251-01_AU0231_250Hz.wav	20130118_110000_AWI251-01_AU0231_250Hz.wav	42843.89149	42850.29698	60973	62574	2013/1/18  11:04:03.891	6.405	25.3	28.9	5.1	25.9	28.3		Bm.Ant-A.
70	Spectrogram 1	1	20130118_110000_AWI251-01_AU0231_250Hz.wav	20130118_110000_AWI251-01_AU0231_250Hz.wav	42835.45761	42841.75633	58864	60439	2013/1/18  11:03:55.458	6.299	23.8	28.9	5.6	23.9	27.8		Bm.Ant-A.
71	Spectrogram 1	1	20130118_110000_AWI251-01_AU0231_250Hz.wav	20130118_110000_AWI251-01_AU0231_250Hz.wav	42880.72301	42887.12849	70181	71782	2013/1/18  11:04:40.723	6.405	24.3	28.9	5.8	24.9	28.3		Bm.Ant-A.
72	Spectrogram 1	1	20130118_110000_AWI251-01_AU0231_250Hz.wav	20130118_110000_AWI251-01_AU0231_250Hz.wav	42894.70831	42899.72593	73677	74931	2013/1/18  11:04:54.708	5.018	23.8	28.5	4.1	24.9	27.3		Bm.Ant-A.
73	Spectrogram 1	1	20130118_140000_AWI251-01_AU0231_250Hz.wav	20130118_140000_AWI251-01_AU0231_250Hz.wav	43775.35745	43781.54942	68839	70387	2013/1/18  14:04:35.357	6.192	23.4	28.4	4.7	23.9	26.9		Bm.Ant-A.
74	Spectrogram 1	1	20130119_040000_AWI251-01_AU0231_250Hz.wav	20130119_040000_AWI251-01_AU0231_250Hz.wav	47707.25954	47713.87854	1815	3470	2013/1/19  4:00:07.260	6.619	23.6	29.1	5.1	24.4	28.3		Bm.Ant-A.
75	Spectrogram 1	1	20130119_040000_AWI251-01_AU0231_250Hz.wav	20130119_040000_AWI251-01_AU0231_250Hz.wav	47748.46814	47753.91279	12117	13478	2013/1/19  4:00:48.468	5.445	23.6	28.5	4.5	24.4	27.8		Bm.Ant-A.
76	Spectrogram 1	1	20130119_040000_AWI251-01_AU0231_250Hz.wav	20130119_040000_AWI251-01_AU0231_250Hz.wav	47754.33983	47759.78448	13585	14946	2013/1/19  4:00:54.340	5.445	23.0	28.5	4.5	23.9	27.8		Bm.Ant-A.
77	Spectrogram 1	1	20130119_040000_AWI251-01_AU0231_250Hz.wav	20130119_040000_AWI251-01_AU0231_250Hz.wav	47764.0548	47770.46028	16014	17615	2013/1/19  4:01:04.055	6.405	23.6	28.5	5.5	24.4	27.8		Bm.Ant-A.
78	Spectrogram 1	1	20130119_040000_AWI251-01_AU0231_250Hz.wav	20130119_040000_AWI251-01_AU0231_250Hz.wav	47733.41526	47738.32612	8354	9582	2013/1/19  4:00:33.415	4.911	24.7	28.5	3.4	25.4	27.8		Bm.Ant-A.
79	Spectrogram 1	1	20130119_070000_AWI251-01_AU0231_250Hz.wav	20130119_070000_AWI251-01_AU0231_250Hz.wav	48864.14786	48871.72768	66037	67932	2013/1/19  7:04:24.148	7.58	23.6	28.5	6.1	23.9	27.8		Bm.Ant-A.
80	Spectrogram 1	1	20130119_140000_AWI251-01_AU0231_250Hz.wav	20130119_140000_AWI251-01_AU0231_250Hz.wav	50906.53764	50913.47691	51634	53369	2013/1/19  14:03:26.538	6.939	23.6	29.0	5.8	24.9	28.3		Bm.Ant-A.
81	Spectrogram 1	1	20130119_210000_AWI251-01_AU0231_250Hz.wav	20130119_210000_AWI251-01_AU0231_250Hz.wav	52831.10968	52837.40841	7777	9352	2013/1/19  21:00:31.110	6.299	25.4	29.6	5.0	25.9	29.3		Bm.Ant-A.
82	Spectrogram 1	1	20130119_210000_AWI251-01_AU0231_250Hz.wav	20130119_210000_AWI251-01_AU0231_250Hz.wav	52880.75216	52885.76978	20188	21442	2013/1/19  21:01:20.752	5.018	24.2	28.4	4.7	24.9	28.3		Bm.Ant-A.
83	Spectrogram 1	1	20130119_210000_AWI251-01_AU0231_250Hz.wav	20130119_210000_AWI251-01_AU0231_250Hz.wav	52991.52726	52997.61247	47882	49403	2013/1/19  21:03:11.527	6.085	23.6	28.5	4.2	24.4	27.8		Bm.Ant-A.
84	Spectrogram 1	1	20130120_070000_AWI251-01_AU0231_250Hz.wav	20130120_070000_AWI251-01_AU0231_250Hz.wav	55842.0421	55847.80704	10511	11952	2013/1/20  7:00:42.042	5.765	24.8	28.6	4.7	25.4	28.3		Bm.Ant-A.
85	Spectrogram 1	1	20130120_130000_AWI251-01_AU0231_250Hz.wav	20130120_130000_AWI251-01_AU0231_250Hz.wav	57716.21167	57722.08336	29053	30521	2013/1/20  13:01:56.212	5.872	24.0	28.5	4.2	24.9	27.8		Bm.Ant-A.
86	Spectrogram 1	1	20130120_130000_AWI251-01_AU0231_250Hz.wav	20130120_130000_AWI251-01_AU0231_250Hz.wav	57760.69065	57766.88262	40173	41721	2013/1/20  13:02:40.691	6.192	25.1	29.6	4.4	25.4	28.8		Bm.Ant-A.
87	Spectrogram 1	1	20130120_130000_AWI251-01_AU0231_250Hz.wav	20130120_130000_AWI251-01_AU0231_250Hz.wav	57778.30573	57785.77879	44576	46445	2013/1/20  13:02:58.306	7.473	25.1	28.5	6.1	25.9	27.8		Bm.Ant-A.
88	Spectrogram 1	1	20130120_220000_AWI251-01_AU0231_250Hz.wav	20130120_220000_AWI251-01_AU0231_250Hz.wav	60334.0702	60340.36892	8518	10092	2013/1/20  22:00:34.070	6.299	24.5	27.8	5.0	24.9	27.3		Bm.Ant-A.
89	Spectrogram 1	1	20130120_220000_AWI251-01_AU0231_250Hz.wav	20130120_220000_AWI251-01_AU0231_250Hz.wav	60412.64409	60417.55496	28161	29389	2013/1/20  22:01:52.644	4.911	23.6	27.3	3.6	24.4	26.9		Bm.Ant-A.
90	Spectrogram 1	1	20130121_040000_AWI251-01_AU0231_250Hz.wav	20130121_040000_AWI251-01_AU0231_250Hz.wav	62127.75763	62133.84284	6939	8461	2013/1/21  4:00:27.758	6.085	23.9	28.9	5.3	23.9	28.8		Bm.Ant-A.
91	Spectrogram 1	1	20130121_040000_AWI251-01_AU0231_250Hz.wav	20130121_040000_AWI251-01_AU0231_250Hz.wav	62211.84384	62218.35577	27961	29589	2013/1/21  4:01:51.844	6.512	24.7	28.6	6.1	24.9	27.8		Bm.Ant-A.
92	Spectrogram 1	1	20130121_040000_AWI251-01_AU0231_250Hz.wav	20130121_040000_AWI251-01_AU0231_250Hz.wav	62308.74101	62314.18567	52185	53546	2013/1/21  4:03:28.741	5.445	24.4	27.2	4.7	24.4	26.9		Bm.Ant-A.
93	Spectrogram 1	1	20130121_040000_AWI251-01_AU0231_250Hz.wav	20130121_040000_AWI251-01_AU0231_250Hz.wav	62339.91435	62346.53334	59979	61633	2013/1/21  4:03:59.914	6.619	25.6	28.3	5.8	25.9	27.8		Bm.Ant-A.
94	Spectrogram 1	1	20130121_040000_AWI251-01_AU0231_250Hz.wav	20130121_040000_AWI251-01_AU0231_250Hz.wav	62366.49709	62373.3296	66624	68332	2013/1/21  4:04:26.497	6.833	26.1	28.6	5.9	26.4	28.3		Bm.Ant-A.
95	Spectrogram 1	1	20130121_040000_AWI251-01_AU0231_250Hz.wav	20130121_040000_AWI251-01_AU0231_250Hz.wav	62376.42558	62381.44321	69106	70361	2013/1/21  4:04:36.426	5.018	25.6	28.3	3.7	25.9	27.8		Bm.Ant-A.
96	Spectrogram 1	1	20130121_100000_AWI251-01_AU0231_250Hz.wav	20130121_100000_AWI251-01_AU0231_250Hz.wav	63987.88451	63995.67784	21971	23919	2013/1/21  10:01:27.885	7.793	23.4	28.5	7.2	23.9	27.8		Bm.Ant-A.
97	Spectrogram 1	1	20130121_100000_AWI251-01_AU0231_250Hz.wav	20130121_100000_AWI251-01_AU0231_250Hz.wav	64064.49765	64069.83555	41124	42459	2013/1/21  10:02:44.498	5.338	22.9	27.9	4.1	23.9	27.3		Bm.Ant-A.
98	Spectrogram 1	1	20130121_100000_AWI251-01_AU0231_250Hz.wav	20130121_100000_AWI251-01_AU0231_250Hz.wav	64153.815	64162.03537	63454	65509	2013/1/21  10:04:13.815	8.22	23.4	27.3	7.6	23.9	26.9		Bm.Ant-A.
99	Spectrogram 1	1	20130121_110000_AWI251-01_AU0231_250Hz.wav	20130121_110000_AWI251-01_AU0231_250Hz.wav	64454.21937	64460.7316	63555	65183	2013/1/21  11:04:14.219	6.512	22.9	28.5	5.5	23.4	27.3		Bm.Ant-A.
100	Spectrogram 1	1	20130121_120000_AWI251-01_AU0231_250Hz.wav	20130121_120000_AWI251-01_AU0231_250Hz.wav	64758.30927	64766.10261	64577	66526	2013/1/21  12:04:18.309	7.793	24.0	27.9	6.7	24.9	27.3		Bm.Ant-A.
101	Spectrogram 1	1	20130121_160000_AWI251-01_AU0231_250Hz.wav	20130121_160000_AWI251-01_AU0231_250Hz.wav	65912.85891	65920.11846	53215	55030	2013/1/21  16:03:32.859	7.26	23.4	29.0	6.1	23.9	27.3		Bm.Ant-A.
102	Spectrogram 1	1	20130121_180000_AWI251-01_AU0231_250Hz.wav	20130121_180000_AWI251-01_AU0231_250Hz.wav	66566.27053	66572.56925	66568	68142	2013/1/21  18:04:26.271	6.299	22.9	29.0	5.6	24.4	27.8		Bm.Ant-A.
